fetures,p.val,p.adjust
-_MSTRG.37485,NA,NA
-_MSTRG.36245,NA,NA
PPIAP89_MSTRG.94203,0.169870520860022,1
-_MSTRG.16288,NA,NA
-_MSTRG.18063,NA,NA
-_MSTRG.81615,NA,NA
LINC02705_MSTRG.15514,0.992202646200189,1
-_MSTRG.37598,NA,NA
-_MSTRG.90496,NA,NA
-_MSTRG.65355,NA,NA
FILNC1_MSTRG.78161,0.121711469573304,1
MIR302CHG_MSTRG.67340,0.0643203664928955,0.70256093737346
AL162412.1_MSTRG.89687,0.848046981342377,1
-_MSTRG.81445,NA,NA
-_MSTRG.52058,NA,NA
AC091144.2_MSTRG.85095,0.415398066896432,1
-_MSTRG.1090,NA,NA
-_MSTRG.11846,NA,NA
PGLYRP1_MSTRG.45148,0.840114273820027,1
-_MSTRG.3431,NA,NA
AL117187.2_MSTRG.28119,0.717932756787108,1
-_MSTRG.91707,NA,NA
SLC25A5P3_MSTRG.80628,0.16277991768179,1
-_MSTRG.36569,NA,NA
-_MSTRG.73945,NA,NA
-_MSTRG.91621,NA,NA
-_MSTRG.93739,NA,NA
-_MSTRG.89100,NA,NA
-_MSTRG.2149,NA,NA
-_MSTRG.42094,NA,NA
C3orf35_MSTRG.60229,0.0279663262641825,0.381543178243297
-_MSTRG.1750,NA,NA
-_MSTRG.66190,NA,NA
-_MSTRG.31813,NA,NA
-_MSTRG.37542,NA,NA
-_MSTRG.9381,NA,NA
LINC02652_MSTRG.10191,0.893048207193897,1
-_MSTRG.70085,NA,NA
LINC02325_MSTRG.28190,0.000130720787287623,0.00497234056892793
-_MSTRG.52032,NA,NA
-_MSTRG.75720,NA,NA
MIR6862-1_MSTRG.33520,0.381724258807338,1
-_MSTRG.16701,NA,NA
-_MSTRG.2893,NA,NA
-_MSTRG.70198,NA,NA
AC131025.2_MSTRG.72971,0.00863997124858369,0.1535250830456
-_MSTRG.21676,NA,NA
RNU4-29P_MSTRG.89946,0.0264843428103559,0.366060130115351
MTND2P9_MSTRG.89900,0.729195899563114,1
HNRNPA1P70_MSTRG.21093,0.204261452919092,1
-_MSTRG.36855,NA,NA
-_MSTRG.2106,NA,NA
-_MSTRG.65168,NA,NA
-_MSTRG.60404,NA,NA
-_MSTRG.81633,NA,NA
HSPD1P5_MSTRG.68035,2.96273116187371e-10,6.37652302716738e-08
AL033527.3_MSTRG.2426,0.0750030049425918,0.787242289250633
-_MSTRG.47647,NA,NA
-_MSTRG.44514,NA,NA
