,coefficient
MSTRG.42451_MSTRG.42451.21,0.01894051918568874
MSTRG.59384_ENST00000648057.3,0.005366115623624729
MSTRG.11021_ENST00000395405.5,0.08293640245807601
MSTRG.2681_ENST00000372224.9,0.008534768188860958
MSTRG.81246_ENST00000380575.8,-0.021691210744017315
MSTRG.57650_ENST00000263201.6,0.06695844564512081
MSTRG.81246_MSTRG.81246.9,-0.012865664439586597
MSTRG.69177_ENST00000166345.8,0.2190076500371305
MSTRG.3987_ENST00000370459.7,0.028883217838502433
MSTRG.61547_MSTRG.61547.1,0.0008660617406263275
MSTRG.54705_ENST00000619850.2,0.011331249078467632
MSTRG.44894_MSTRG.44894.4,-0.006528448986337472
MSTRG.29588_ENST00000287598.10,0.08992179944484599
MSTRG.73321_ENST00000352433.10,0.1369603868655869
MSTRG.6301_ENST00000367969.8,0.01938008205717709
MSTRG.54439_ENST00000343380.6,0.04052027491048662
MSTRG.11697_ENST00000372263.4,-0.14216602100067224
MSTRG.91924_ENST00000409687.5,0.0698114803946971
MSTRG.2612_ENST00000310955.11,0.00898197730082176
MSTRG.5850_ENST00000497282.1,-0.02699553726965731
MSTRG.54950_ENST00000356455.9,0.043530590322296656
MSTRG.55834_MSTRG.55834.2,0.024411734153060687
MSTRG.51652_ENST00000409465.5,0.007209969036036305
MSTRG.75272_ENST00000435363.7,-0.016622643559498124
MSTRG.6185_MSTRG.6185.3,-0.0005388374412740214
