,coefficient
RNA5SP385_MSTRG.26770,-0.00011147754265441201
AC079089.1_MSTRG.86223,0.00495524222010217
SSBP3-AS1_MSTRG.3127,-0.021792652490101434
AC010680.4_MSTRG.51396,-0.006667790468291428
AC012308.1_MSTRG.12843,-0.001824923403826084
GPR63_MSTRG.77094,0.03169564588768632
SLC8A3_MSTRG.27374,-0.010567719692612281
AC090844.1_MSTRG.37787,0.005921970077914288
NANOGNBP3_MSTRG.94238,0.01352116269250552
AC100858.3_MSTRG.87616,0.0021474575060039035
MAGEA5_MSTRG.95490,-0.03968107857678204
AC025280.1_MSTRG.35421,-0.019575732799414745
BTF3P4_MSTRG.89737,-0.016834658483638968
AC015912.3_MSTRG.38800,0.004426807705857518
BMP3_MSTRG.66643,-0.0251031322799102
AC010536.3_MSTRG.35544,0.007511674490769234
FANCD2P2_MSTRG.59662,0.007703402140424755
MIR3681HG_MSTRG.46637,-0.005839183252733778
AL080312.1_MSTRG.54175,-0.009284115379495979
SOX3_MSTRG.95268,0.019847181614233527
MC5R_MSTRG.40702,-0.004988652025503584
AC011676.1_MSTRG.87972,0.012630517360432914
RAPSN_MSTRG.15041,0.03124177057757848
LSP1P2_MSTRG.61397,-0.005198062991472986
NKX1-2_MSTRG.13125,0.015088229719886758
AC116025.2_MSTRG.39972,0.007623748176526741
AC007541.1_MSTRG.22184,-0.0005275714081224791
AC025062.2_MSTRG.84581,0.0053463605104200835
AC022784.1_MSTRG.84252,0.0005775742019287349
C1QL4_MSTRG.20191,0.022455285297181292
SLC25A21_MSTRG.26392,-0.01673770833365573
DNAJC28_MSTRG.56731,-0.04783925063674486
PAX6_MSTRG.14626,0.012401730624118892
POLQ_MSTRG.62239,0.009200922353840074
AL157895.1_MSTRG.9943,-0.0009123006719248366
AL117329.1_MSTRG.59238,0.004647457520901013
SNORD101_MSTRG.77950,0.01159476462669666
GPR19_MSTRG.19238,0.05173184692857542
LIG4_MSTRG.25329,-0.01970716591897688
FAM72D_MSTRG.5176,0.0063765460122090735
RANBP17_MSTRG.73482,0.0019249065961615384
AL512274.1_MSTRG.75801,-0.02470557065971243
RNFT2_MSTRG.22583,0.04633831065408432
KIF14_MSTRG.7395,0.004311582784375137
AC245452.2_MSTRG.57828,-0.017017289638872626
INKA2_MSTRG.4702,-0.030719342656889265
MT3_MSTRG.34504,0.01369207572799654
CDC25A_MSTRG.60633,0.016311322994203327
EPO_MSTRG.82074,0.013452131893336262
NPHP1_MSTRG.49556,-0.01988613971126824
COG6_MSTRG.24011,-0.0004866897359780195
GLULP4_MSTRG.89044,-0.013894913675280184
NEFL_MSTRG.84795,-0.05343195544887992
E2F8_MSTRG.14423,0.010449842633093353
CENPE_MSTRG.67112,0.14088712774429485
SGO1_MSTRG.59891,0.108517395798797
PNRC2_MSTRG.1552,-0.03803208271292858
GALC_MSTRG.27843,-0.011187558216013983
PTGS2_MSTRG.7165,-0.0020871112155820266
HELLS_MSTRG.12128,0.05016643931240218
HSPB1P2_MSTRG.93200,0.02322476344693064
OIP5_MSTRG.29697,0.026225171651276743
CDCA7_MSTRG.51199,0.0001447547166108971
CDKN3_MSTRG.26853,0.106055001705233
HJURP_MSTRG.53003,0.01225954630079037
SEC16B_MSTRG.6833,-0.05653962432919694
SEPTIN3_MSTRG.58941,0.06777581436984528
MPP7_MSTRG.10183,-0.011850312019553532
LMNB1_MSTRG.72165,0.05600674462050552
CENPF_MSTRG.8056,0.010403582048605338
FLOT1_MSTRG.75135,-0.002871716186248532
RRAD_MSTRG.34773,-0.0026571613663858647
CDCA5_MSTRG.15866,0.11700939747431985
TMEM158_MSTRG.60506,0.00029558627989163214
ASF1B_MSTRG.43257,0.05846047159932476
UHRF1_MSTRG.42573,0.02889122789687883
BOK-AS1_MSTRG.53303,-0.031562104535099306
HMGB3_MSTRG.95458,0.020041072625569603
PLAC9_MSTRG.11697,-0.07072152143553843
AC005480.1_MSTRG.27500,-0.06229921794910242
LYPD6_MSTRG.50631,-0.0060941133891382155
CXCL10_MSTRG.66491,0.006041152735882851
treatGroup=EndoCyto,0.20123153415391395
