fetures,p.val,p.adjust
-_MSTRG.37485,NA,NA
-_MSTRG.36245,NA,NA
PPIAP89_MSTRG.94203,0.000425919371155261,0.00542973186848399
-_MSTRG.16288,NA,NA
-_MSTRG.18063,NA,NA
-_MSTRG.81615,NA,NA
LINC02705_MSTRG.15514,0.289655242013552,1
-_MSTRG.37598,NA,NA
-_MSTRG.90496,NA,NA
-_MSTRG.65355,NA,NA
FILNC1_MSTRG.78161,0.682439415600845,1
MIR302CHG_MSTRG.67340,0.252937472490958,1
AL162412.1_MSTRG.89687,0.61937528702846,1
-_MSTRG.81445,NA,NA
-_MSTRG.52058,NA,NA
AC091144.2_MSTRG.85095,0.328595592837401,1
-_MSTRG.1090,NA,NA
-_MSTRG.11846,NA,NA
PGLYRP1_MSTRG.45148,0.0198106925398582,0.165516786314395
-_MSTRG.3431,NA,NA
AL117187.2_MSTRG.28119,0.62322391636491,1
-_MSTRG.91707,NA,NA
SLC25A5P3_MSTRG.80628,8.6545476411173e-05,0.00125587697864772
-_MSTRG.36569,NA,NA
-_MSTRG.73945,NA,NA
-_MSTRG.91621,NA,NA
-_MSTRG.93739,NA,NA
-_MSTRG.89100,NA,NA
-_MSTRG.2149,NA,NA
-_MSTRG.42094,NA,NA
C3orf35_MSTRG.60229,0.612776908006707,1
-_MSTRG.1750,NA,NA
-_MSTRG.66190,NA,NA
-_MSTRG.31813,NA,NA
-_MSTRG.37542,NA,NA
-_MSTRG.9381,NA,NA
LINC02652_MSTRG.10191,0.033082981270394,0.258822789671792
-_MSTRG.70085,NA,NA
LINC02325_MSTRG.28190,1.75531507330469e-05,0.000291865238676724
-_MSTRG.52032,NA,NA
-_MSTRG.75720,NA,NA
MIR6862-1_MSTRG.33520,0.0510963537733651,0.376366088279314
-_MSTRG.16701,NA,NA
-_MSTRG.2893,NA,NA
-_MSTRG.70198,NA,NA
AC131025.2_MSTRG.72971,0.000105185966671491,0.00150310461316741
-_MSTRG.21676,NA,NA
RNU4-29P_MSTRG.89946,0.406110111989036,1
MTND2P9_MSTRG.89900,0.986620350940849,1
HNRNPA1P70_MSTRG.21093,0.00371966913910631,0.0379928627031624
-_MSTRG.36855,NA,NA
-_MSTRG.2106,NA,NA
-_MSTRG.65168,NA,NA
-_MSTRG.60404,NA,NA
-_MSTRG.81633,NA,NA
HSPD1P5_MSTRG.68035,2.49819438429426e-25,4.26655189907163e-23
AL033527.3_MSTRG.2426,0.0778076343974488,0.536138067530543
-_MSTRG.47647,NA,NA
