,coefficient
MSTRG.49004_MSTRG.49004.7,-0.003357370265179228
MSTRG.36265_ENST00000585124.6,0.08341908938077375
MSTRG.27500_ENST00000286544.5,-0.0175419766880357
MSTRG.1355_ENST00000375099.4,-0.001030922224831439
MSTRG.68960_ENST00000281453.10,0.06354629216395685
MSTRG.59384_ENST00000648057.3,0.0031333931094361667
MSTRG.38027_MSTRG.38027.3,-0.004196754855685795
MSTRG.18703_ENST00000359843.7,0.009451677731107704
MSTRG.41386_MSTRG.41386.1,-0.02896770141471574
MSTRG.39944_ENST00000310942.9,0.07832162475742938
MSTRG.42573_ENST00000650932.1,0.04265522524613041
MSTRG.58941_ENST00000396425.7,0.037893272778078003
MSTRG.86829_ENST00000358397.9,0.008080286529741377
MSTRG.54439_MSTRG.54439.60,0.02572728068419752
MSTRG.84954_MSTRG.84954.1,-0.017436560229673166
MSTRG.12977_MSTRG.12977.1,-0.0009329716646217542
MSTRG.36792_ENST00000395604.8,-0.0006761848487351198
MSTRG.27506_ENST00000553458.6,-0.037967852646261846
MSTRG.75769_ENST00000230321.10,-0.003194937315997573
MSTRG.83218_ENST00000536163.6,-0.008010536209204795
MSTRG.82885_ENST00000425248.5,-0.033029046400124974
MSTRG.39858_ENST00000350051.8,0.05080837028591046
MSTRG.54079_ENST00000377103.2,-0.0008093530029288896
MSTRG.34773_ENST00000299759.11,-0.025119443569952726
MSTRG.43257_ENST00000263382.8,0.08659730042185222
MSTRG.70798_ENST00000256442.10,0.010782339165225878
MSTRG.18458_MSTRG.18458.2,-0.013002255237857151
MSTRG.36670_MSTRG.36670.15,-0.000513065994913986
MSTRG.81246_ENST00000380576.9,-0.0037159382304226283
MSTRG.75769_ENST00000419164.6,-0.006222620855434945
MSTRG.69177_ENST00000166345.8,0.06831272900771541
MSTRG.3987_ENST00000370459.7,0.018006191482004264
MSTRG.7485_ENST00000487227.6,0.0010509897120110473
MSTRG.54312_ENST00000376112.4,-0.0050568293723878745
MSTRG.54705_ENST00000619850.2,0.01577714815155112
MSTRG.84954_MSTRG.84954.8,-0.008396188662171166
MSTRG.61123_ENST00000302819.10,-0.00035748835079992426
MSTRG.84954_ENST00000524189.6,-0.03260062302475999
MSTRG.86646_MSTRG.86646.23,0.019297414523385497
MSTRG.73321_ENST00000352433.10,0.17865045729281592
MSTRG.27579_ENST00000554617.1,-0.04458222353694947
MSTRG.856_ENST00000294435.8,-0.015756269617809782
MSTRG.11697_ENST00000372263.4,-0.0018366471867206048
MSTRG.37775_MSTRG.37775.23,-0.009421215731345611
MSTRG.81246_ENST00000252034.12,-0.013852102730379104
MSTRG.30395_ENST00000288207.7,0.17823587077817904
MSTRG.18228_ENST00000456829.7,-0.00014589296121914001
MSTRG.15866_ENST00000275517.8,0.016113183259506867
MSTRG.12015_ENST00000238994.6,-0.005122609957683683
MSTRG.62281_ENST00000232125.9,0.00435633153457809
MSTRG.2612_ENST00000310955.11,0.00015823955634609494
MSTRG.87402_MSTRG.87402.2,0.017218249822398828
MSTRG.7237_ENST00000367459.8,0.016869671848445646
MSTRG.32596_ENST00000345988.7,-0.0012641415105761164
MSTRG.22258_ENST00000242576.6,0.00010316245054805549
MSTRG.75994_ENST00000230565.3,-0.00465376593015906
MSTRG.1318_MSTRG.1318.22,-0.03091770753700721
MSTRG.67956_MSTRG.67956.1,-0.0024383136389202246
MSTRG.42536_ENST00000394765.7,-0.021741594061695763
MSTRG.66491_ENST00000306602.3,0.002111621485767937
MSTRG.30444_MSTRG.30444.24,-0.0038729043542564804
MSTRG.29863_MSTRG.29863.23,0.03178443109523649
MSTRG.19325_MSTRG.19325.11,-0.046334487377256824
treatGroup=EndoCyto,0.1368594972263961
