fetures,p.val,p.adjust
MSTRG.11857_MSTRG.11857.1,0.000651481717979239,0.00282417219767894
MSTRG.42988_MSTRG.42988.10,0.393291866432693,0.531187864985127
MSTRG.5450_MSTRG.5450.1,4.0570218065296e-06,3.17932006003687e-05
MSTRG.80358_ENST00000489459.5,4.01994286733684e-09,5.90021045512058e-08
MSTRG.32167_ENST00000199706.13,0.00174307627925003,0.00656594527312566
MSTRG.33706_ENST00000524644.5,0.492025154471085,0.623854874669413
MSTRG.8525_ENST00000470558.5,9.46986882168088e-07,8.56074868648121e-06
MSTRG.32927_ENST00000529166.5,0.327549961220506,0.464589576581489
MSTRG.16726_ENST00000663202.1,3.80339452017048e-06,2.99469205182744e-05
MSTRG.64624_ENST00000304312.5,3.84918780173171e-05,0.000234425412470945
MSTRG.86341_ENST00000522568.1,0.328027238642133,0.465105765847438
MSTRG.60383_MSTRG.60383.7,0.113583379219713,0.207351133280038
MSTRG.42673_MSTRG.42673.41,0.180297457039228,0.296270613652965
MSTRG.964_MSTRG.964.33,0.161104836591117,0.271822102151823
MSTRG.10012_ENST00000444869.5,0.000275738688523762,0.0013332490901069
MSTRG.58860_ENST00000216218.8,0.772469739835245,0.849344180594556
MSTRG.40123_MSTRG.40123.16,0.431548404857343,0.567306095543802
MSTRG.58371_MSTRG.58371.17,0.78636264399377,0.858897901480427
MSTRG.55138_MSTRG.55138.15,0.0186009618467303,0.0475989136407814
MSTRG.48423_MSTRG.48423.1,0.035155176433344,0.0806085154339259
MSTRG.33792_ENST00000380244.7,0.122409285281815,0.219647635692435
MSTRG.3096_MSTRG.3096.6,0.0560562526011013,0.117662585919281
MSTRG.22941_MSTRG.22941.23,0.640132902227288,0.749900777967358
MSTRG.476_ENST00000354700.10,0.342413298372399,0.480564712093101
MSTRG.72660_MSTRG.72660.2,0.00315046374412885,0.0108246393497188
MSTRG.18715_MSTRG.18715.1,0.0008725335132856,0.00363090009403287
MSTRG.59200_ENST00000473624.1,0.737348439856106,0.823619891112677
MSTRG.37993_ENST00000469698.5,0.0729278327673479,0.1455796902085
MSTRG.39811_ENST00000591198.5,0.0747777505705286,0.148523132048648
MSTRG.33417_ENST00000613406.1,0.227510750039901,0.352948136089498
MSTRG.18897_MSTRG.18897.1,0.118068068089003,0.213635863494384
MSTRG.36010_MSTRG.36010.8,0.550061727750762,0.674757725098353
MSTRG.51175_MSTRG.51175.1,0.0222678878170162,0.0551886675210674
MSTRG.32192_ENST00000538492.5,0.914282471407472,0.946721592791558
MSTRG.62477_MSTRG.62477.1,0.00265515599717791,0.00937054464017805
MSTRG.75603_MSTRG.75603.4,8.83209545540283e-14,2.79212531182964e-12
MSTRG.32682_MSTRG.32682.18,0.434958395634833,0.570674748488852
MSTRG.50909_MSTRG.50909.1,0.0392116717641586,0.0879409117699413
MSTRG.85517_ENST00000265421.9,0.474110020332178,0.607054632354702
MSTRG.55138_ENST00000371792.5,7.43861671642006e-08,8.42615181144626e-07
MSTRG.15897_MSTRG.15897.5,0.833690727417222,0.89186879822302
MSTRG.9875_ENST00000456355.1,1.92854958899291e-10,3.56834728973014e-09
MSTRG.33792_MSTRG.33792.1,0.00317269808799655,0.010888518517843
MSTRG.33348_ENST00000449606.5,0.301269947283242,0.436060977659711
MSTRG.58535_ENST00000438146.7,0.133056549682531,0.234299015323283
MSTRG.26404_MSTRG.26404.50,0.0119201271311803,0.0329619878929123
MSTRG.39700_ENST00000355423.7,0.00272610233246208,0.00957875847535452
MSTRG.1058_ENST00000294489.10,1.03232001034805e-05,7.30663121241611e-05
MSTRG.80361_ENST00000615423.1,0.00355956616448553,0.011943503183232
MSTRG.5614_ENST00000638901.1,0.00042609951131692,0.00195386997664208
MSTRG.59787_ENST00000383791.8,0.000700272678177844,0.00300038793773189
MSTRG.39774_MSTRG.39774.1,0.905952883359288,0.941183456368961
MSTRG.36294_MSTRG.36294.6,0.138271831050114,0.241162208800079
MSTRG.13394_ENST00000361518.10,0.464499815908588,0.598660465046889
MSTRG.78077_ENST00000318471.5,0.662116697985384,0.766972035560851
MSTRG.15730_MSTRG.15730.1,0.00425199940164586,0.0139094771282197
MSTRG.33232_ENST00000261388.7,0.742325803274712,0.827770500103605
MSTRG.74460_MSTRG.74460.1,0.249848681630297,0.379113315391984
MSTRG.22135_MSTRG.22135.2,0.693813317748754,0.790181173795391
MSTRG.17614_MSTRG.17614.1,0.873543522064209,0.918974753610974
MSTRG.65587_ENST00000515612.1,0.28087858783673,0.413804098821069
MSTRG.15800_ENST00000537918.1,0.00716941224909691,0.0215194352044465
MSTRG.86816_MSTRG.86816.7,0.00715998481193189,0.0215033536994697
MSTRG.3066_MSTRG.3066.1,0.655744014008619,0.761886469828283
MSTRG.18960_MSTRG.18960.26,0.288548160002273,0.422373967492308
MSTRG.40489_ENST00000546007.6,0.196653320294415,0.316175478149802
MSTRG.13957_MSTRG.13957.1,0.0179493054940272,0.0462538472898289
MSTRG.4687_ENST00000483994.1,0.016635640885478,0.0434639843393237
MSTRG.38322_MSTRG.38322.2,0.166715201068616,0.279169616229863
MSTRG.12877_ENST00000469758.5,0.742109952521297,0.827598410407911
MSTRG.20521_ENST00000660808.1,0.000573029066246708,0.00252931927304925
MSTRG.64729_MSTRG.64729.1,0.00265910309960326,0.00938078293845088
MSTRG.39536_ENST00000542342.6,0.00459954745136318,0.0148745792864555
MSTRG.37866_ENST00000646401.1,0.965484229615981,0.979390755603436
MSTRG.38421_ENST00000290216.14,2.83053929685937e-05,0.000179092188860319
MSTRG.94199_MSTRG.94199.3,3.54252907171897e-05,0.000218238286275373
MSTRG.8534_ENST00000477206.5,2.561155889991e-09,3.90162949651346e-08
MSTRG.27942_ENST00000535815.5,0.219263718941858,0.343335768039859
MSTRG.18816_MSTRG.18816.3,9.79451412553526e-06,6.97066374990945e-05
MSTRG.20320_ENST00000603864.5,0.0966600809472893,0.182752018695747
MSTRG.39701_MSTRG.39701.1,0.26301129123853,0.39436715197432
MSTRG.39405_ENST00000589228.5,0.289649976910978,0.42364104212439
MSTRG.43136_MSTRG.43136.15,0.00968067561927922,0.027674391008799
MSTRG.26080_ENST00000382554.4,0.0175931372141309,0.0455191546904948
MSTRG.91834_ENST00000298537.11,0.0175375970371789,0.0453885495999255
MSTRG.65929_ENST00000263925.8,0.206666368175841,0.328364545213568
MSTRG.53454_ENST00000622179.4,0.0697041372864279,0.140342045009487
MSTRG.36184_MSTRG.36184.1,0.938923999701008,0.962468482432152
MSTRG.25981_ENST00000319074.6,0.466661930394703,0.600677000447035
MSTRG.20192_ENST00000549441.7,0.0340744600022843,0.0786533845938614
MSTRG.27681_ENST00000557431.5,0.280154100517921,0.413076058655795
MSTRG.43179_MSTRG.43179.1,0.00172257673340001,0.00649691320042907
MSTRG.37368_ENST00000394673.6,0.138370217710622,0.241278136004371
MSTRG.57370_ENST00000481861.1,0.00424663212546487,0.0138969886961904
MSTRG.7585_MSTRG.7585.23,0.566216294394227,0.688680183014056
MSTRG.54550_ENST00000374104.7,0.120918576452397,0.217494983104823
MSTRG.30211_MSTRG.30211.3,0.0718765307976117,0.143908186950074
MSTRG.36148_ENST00000356683.6,0.825531782399529,0.885784770146952
MSTRG.42325_MSTRG.42325.55,0.890014282319713,0.929974530518011
MSTRG.41444_ENST00000285039.12,0.237844809388745,0.365037304294906
MSTRG.59819_MSTRG.59819.1,9.82744998561562e-19,6.32506906610089e-17
MSTRG.59653_ENST00000430365.7,0.000692664149755291,0.00297442037044958
MSTRG.20650_MSTRG.20650.4,0.46555782272602,0.599535785974732
MSTRG.16066_MSTRG.16066.32,0.00266293291630561,0.00938946988343125
MSTRG.45872_ENST00000302937.8,8.18216033204614e-05,0.000454615157812964
MSTRG.16189_MSTRG.16189.5,0.608745645833259,0.725126667803897
MSTRG.58382_ENST00000493034.1,0.432670720821172,0.56839398419122
MSTRG.61114_MSTRG.61114.5,0.0884616930191159,0.170503290392125
MSTRG.60825_ENST00000357955.6,0.0698769640664175,0.140616348588438
MSTRG.6257_MSTRG.6257.22,0.00925975289307483,0.0266690003299852
MSTRG.15939_MSTRG.15939.5,0.266119183582345,0.398007016398929
MSTRG.39700_ENST00000580322.5,0.762722967759818,0.842422998064298
MSTRG.42286_MSTRG.42286.6,0.896985794215903,0.9345005933389
MSTRG.11700_MSTRG.11700.15,0.527092298294592,0.654770471488176
