fetures,p-val
-_MSTRG.37485,
-_MSTRG.36245,
PPIAP89_MSTRG.94203,0.7921273609086449
-_MSTRG.16288,
-_MSTRG.18063,
-_MSTRG.81615,
LINC02705_MSTRG.15514,0.4045376465911963
-_MSTRG.37598,
-_MSTRG.90496,
-_MSTRG.65355,
FILNC1_MSTRG.78161,0.7529228300833983
MIR302CHG_MSTRG.67340,0.13022468377986043
AL162412.1_MSTRG.89687,0.37350561249144554
-_MSTRG.81445,
-_MSTRG.52058,
AC091144.2_MSTRG.85095,0.6125368010806443
-_MSTRG.1090,7.826424651160629e-05
-_MSTRG.11846,
PGLYRP1_MSTRG.45148,0.611477508666757
-_MSTRG.3431,0.22546520401771408
AL117187.2_MSTRG.28119,0.34741097721680225
-_MSTRG.91707,
SLC25A5P3_MSTRG.80628,0.002961594127060148
-_MSTRG.36569,
-_MSTRG.73945,
-_MSTRG.91621,
-_MSTRG.93739,
-_MSTRG.89100,
-_MSTRG.2149,0.11276052934934926
-_MSTRG.42094,
C3orf35_MSTRG.60229,0.6999452844411402
-_MSTRG.1750,0.01923662086260689
-_MSTRG.66190,
-_MSTRG.31813,
-_MSTRG.37542,
-_MSTRG.9381,
LINC02652_MSTRG.10191,0.4343058134888311
-_MSTRG.70085,
LINC02325_MSTRG.28190,0.36772234657886405
-_MSTRG.52032,
-_MSTRG.75720,
MIR6862-1_MSTRG.33520,0.9489666080139239
-_MSTRG.16701,
-_MSTRG.2893,0.11633623401218335
-_MSTRG.70198,
AC131025.2_MSTRG.72971,0.27919488338505816
-_MSTRG.21676,
RNU4-29P_MSTRG.89946,0.1106583394993173
MTND2P9_MSTRG.89900,0.13320963619584397
HNRNPA1P70_MSTRG.21093,0.12047755800769001
-_MSTRG.36855,
-_MSTRG.2106,0.9549068404649789
-_MSTRG.65168,
-_MSTRG.60404,
-_MSTRG.81633,
HSPD1P5_MSTRG.68035,0.021589641478744072
AL033527.3_MSTRG.2426,0.641643190745391
-_MSTRG.47647,
-_MSTRG.44514,
RNU6-748P_MSTRG.86959,0.26918085017909626
-_MSTRG.89875,
MRPS18CP6_MSTRG.59084,0.7535123895036026
-_MSTRG.81269,
-_MSTRG.60283,
-_MSTRG.21583,
AC008764.9_MSTRG.43451,0.01573399285611437
-_MSTRG.21737,
