fetures,p.val,p.adjust
-_MSTRG.37485,NA,NA
-_MSTRG.36245,NA,NA
PPIAP89_MSTRG.94203,0.792127360908645,1
-_MSTRG.16288,NA,NA
-_MSTRG.18063,NA,NA
-_MSTRG.81615,NA,NA
LINC02705_MSTRG.15514,0.404537646591196,1
-_MSTRG.37598,NA,NA
-_MSTRG.90496,NA,NA
-_MSTRG.65355,NA,NA
FILNC1_MSTRG.78161,0.752922830083398,1
MIR302CHG_MSTRG.67340,0.13022468377986,1
AL162412.1_MSTRG.89687,0.373505612491446,1
-_MSTRG.81445,NA,NA
-_MSTRG.52058,NA,NA
AC091144.2_MSTRG.85095,0.612536801080644,1
-_MSTRG.1090,7.82642465116063e-05,0.00859765358032708
-_MSTRG.11846,NA,NA
PGLYRP1_MSTRG.45148,0.611477508666757,1
-_MSTRG.3431,0.225465204017714,1
AL117187.2_MSTRG.28119,0.347410977216802,1
-_MSTRG.91707,NA,NA
SLC25A5P3_MSTRG.80628,0.00296159412706015,0.104702890878547
-_MSTRG.36569,NA,NA
-_MSTRG.73945,NA,NA
-_MSTRG.91621,NA,NA
-_MSTRG.93739,NA,NA
-_MSTRG.89100,NA,NA
-_MSTRG.2149,0.112760529349349,1
-_MSTRG.42094,NA,NA
C3orf35_MSTRG.60229,0.69994528444114,1
-_MSTRG.1750,0.0192366208626069,0.37412522566538
-_MSTRG.66190,NA,NA
-_MSTRG.31813,NA,NA
-_MSTRG.37542,NA,NA
-_MSTRG.9381,NA,NA
LINC02652_MSTRG.10191,0.434305813488831,1
-_MSTRG.70085,NA,NA
LINC02325_MSTRG.28190,0.367722346578864,1
-_MSTRG.52032,NA,NA
-_MSTRG.75720,NA,NA
MIR6862-1_MSTRG.33520,0.948966608013924,1
-_MSTRG.16701,NA,NA
-_MSTRG.2893,0.116336234012183,1
-_MSTRG.70198,NA,NA
AC131025.2_MSTRG.72971,0.279194883385058,1
-_MSTRG.21676,NA,NA
RNU4-29P_MSTRG.89946,0.110658339499317,1
MTND2P9_MSTRG.89900,0.133209636195844,1
HNRNPA1P70_MSTRG.21093,0.12047755800769,1
-_MSTRG.36855,NA,NA
-_MSTRG.2106,0.954906840464979,1
-_MSTRG.65168,NA,NA
-_MSTRG.60404,NA,NA
-_MSTRG.81633,NA,NA
HSPD1P5_MSTRG.68035,0.0215896414787441,0.403516808214152
AL033527.3_MSTRG.2426,0.641643190745391,1
-_MSTRG.47647,NA,NA
-_MSTRG.44514,NA,NA
