,coefficient
age,28.12477365717943
MSTRG.11857_MSTRG.11857.1,10.820430369520682
MSTRG.5450_MSTRG.5450.1,38.380899487780795
MSTRG.80358_ENST00000489459.5,7.447013670441482
MSTRG.8525_ENST00000470558.5,98.90873676560192
MSTRG.32927_ENST00000529166.5,-6.075282427482058
MSTRG.16726_ENST00000663202.1,34.45528033002835
MSTRG.42673_MSTRG.42673.41,28.015852845327085
MSTRG.10012_ENST00000444869.5,8.134973339574723
MSTRG.58860_ENST00000216218.8,-40.8512719145862
MSTRG.58371_MSTRG.58371.17,46.762358449924264
MSTRG.55138_MSTRG.55138.15,17.983507759096955
MSTRG.48423_MSTRG.48423.1,-10.998910155327094
MSTRG.33792_ENST00000380244.7,-29.739421704204744
MSTRG.3096_MSTRG.3096.6,-35.88723991006177
MSTRG.22941_MSTRG.22941.23,-26.873346894616677
MSTRG.476_ENST00000354700.10,-40.74068114824238
MSTRG.59200_ENST00000473624.1,61.33075219895736
MSTRG.37993_ENST00000469698.5,-63.60532306564302
MSTRG.39811_ENST00000591198.5,0.44333297772628966
MSTRG.33417_ENST00000613406.1,-86.8473809724047
MSTRG.18897_MSTRG.18897.1,-2.953071181495539
MSTRG.32192_ENST00000538492.5,80.33712430787384
MSTRG.62477_MSTRG.62477.1,1.0070498535407957
MSTRG.75603_MSTRG.75603.4,36.92194504319172
MSTRG.85517_ENST00000265421.9,-7.851268619390032
MSTRG.55138_ENST00000371792.5,50.0265266165798
MSTRG.15897_MSTRG.15897.5,-42.50440022830281
MSTRG.9875_ENST00000456355.1,-4.702390808483903
MSTRG.33348_ENST00000449606.5,13.56384143361634
MSTRG.58535_ENST00000438146.7,0.9562002627703269
MSTRG.39700_ENST00000355423.7,105.04525993539622
MSTRG.1058_ENST00000294489.10,-2.5528284937428127
MSTRG.80361_ENST00000615423.1,-2.6003653497947856
MSTRG.5614_ENST00000638901.1,-3.206969827035594
MSTRG.59787_ENST00000383791.8,21.91593964914321
MSTRG.39774_MSTRG.39774.1,53.307099457758035
MSTRG.36294_MSTRG.36294.6,6.680702639744518
MSTRG.13394_ENST00000361518.10,-57.67745118087011
MSTRG.78077_ENST00000318471.5,54.756785494444344
MSTRG.15730_MSTRG.15730.1,-16.106775587853367
MSTRG.33232_ENST00000261388.7,-87.8764476970747
MSTRG.74460_MSTRG.74460.1,-21.611616869646916
MSTRG.17614_MSTRG.17614.1,-66.34080608474603
MSTRG.65587_ENST00000515612.1,-58.89428626433298
MSTRG.86816_MSTRG.86816.7,-33.180010794693295
MSTRG.3066_MSTRG.3066.1,-6.161272838905514
MSTRG.18960_MSTRG.18960.26,73.8482024499584
MSTRG.40489_ENST00000546007.6,0.9181329870470815
MSTRG.13957_MSTRG.13957.1,89.62528024662375
MSTRG.4687_ENST00000483994.1,20.824066811425265
MSTRG.12877_ENST00000469758.5,-67.15942344218116
MSTRG.20521_ENST00000660808.1,27.649490354919926
MSTRG.64729_MSTRG.64729.1,11.6587675876286
MSTRG.39536_ENST00000542342.6,5.064963557113801
MSTRG.37866_ENST00000646401.1,-49.902176957550196
MSTRG.38421_ENST00000290216.14,-123.63952024354012
MSTRG.94199_MSTRG.94199.3,-36.75556187422678
MSTRG.27942_ENST00000535815.5,18.49555565212877
MSTRG.18816_MSTRG.18816.3,-85.25912450565845
MSTRG.39701_MSTRG.39701.1,-43.343783273131095
MSTRG.26080_ENST00000382554.4,9.086379743938952
MSTRG.91834_ENST00000298537.11,25.900859232049765
MSTRG.65929_ENST00000263925.8,48.52249957870881
MSTRG.53454_ENST00000622179.4,23.397035516715132
MSTRG.36184_MSTRG.36184.1,-28.519885007902417
MSTRG.20192_ENST00000549441.7,16.33481547339117
MSTRG.27681_ENST00000557431.5,-106.24759966552818
MSTRG.7585_MSTRG.7585.23,40.208394578163364
MSTRG.54550_ENST00000374104.7,-12.999975326374972
MSTRG.30211_MSTRG.30211.3,-25.470821417247368
