fetures,p.val,p.adjust
RFS_all_event,0.990529014717738,0.997312698325887
MSTRG.11857_MSTRG.11857.1,0.417564103085469,0.745595206693046
MSTRG.42988_MSTRG.42988.10,0.280272154269261,0.642540059082306
MSTRG.5450_MSTRG.5450.1,0.0575584278383347,0.320014867237561
MSTRG.80358_ENST00000489459.5,0.0787379514825126,0.373807278398715
MSTRG.32167_ENST00000199706.13,0.644183036106732,0.871522699558258
MSTRG.33706_ENST00000524644.5,0.843945169524973,0.952052532219375
MSTRG.8525_ENST00000470558.5,6.13025525261536e-07,0.000263217780091699
MSTRG.32927_ENST00000529166.5,0.22522099349552,0.590464393783228
MSTRG.16726_ENST00000663202.1,0.0132591889503589,0.151282959932339
MSTRG.64624_ENST00000304312.5,0.232214637427941,0.597776131718816
MSTRG.86341_ENST00000522568.1,0.797875181272644,0.935746899605894
MSTRG.60383_MSTRG.60383.7,0.964045799622669,0.990191544363588
MSTRG.42673_MSTRG.42673.41,0.599464087641967,0.850004311896252
MSTRG.964_MSTRG.964.33,0.653580169230828,0.874823909570792
MSTRG.10012_ENST00000444869.5,0.413578268317843,0.743340947675695
MSTRG.58860_ENST00000216218.8,0.627555802918837,0.863619504947743
MSTRG.40123_MSTRG.40123.16,0.834875904869317,0.947898953868978
MSTRG.58371_MSTRG.58371.17,0.751056247934047,0.916390807003065
MSTRG.55138_MSTRG.55138.15,0.732320166662494,0.908169221362424
MSTRG.48423_MSTRG.48423.1,0.938131771058581,0.98288979852903
MSTRG.33792_ENST00000380244.7,0.779869128974741,0.928709302778193
MSTRG.3096_MSTRG.3096.6,0.436886713812525,0.758008201267108
MSTRG.22941_MSTRG.22941.23,0.984309725728202,0.995471525030235
MSTRG.476_ENST00000354700.10,0.399011379214338,0.734982534539792
MSTRG.72660_MSTRG.72660.2,0.671965443492268,0.88198852932265
MSTRG.18715_MSTRG.18715.1,0.367923478306391,0.712951113537536
MSTRG.59200_ENST00000473624.1,0.318488978669625,0.676411061803338
MSTRG.37993_ENST00000469698.5,0.0743012285746406,0.362462127723636
MSTRG.39811_ENST00000591198.5,0.333023903363464,0.687566195694163
MSTRG.33417_ENST00000613406.1,0.0741418744086113,0.362082590141456
MSTRG.18897_MSTRG.18897.1,0.42963879891911,0.752882319163663
MSTRG.36010_MSTRG.36010.8,0.55286710386194,0.824885568006967
MSTRG.51175_MSTRG.51175.1,0.862036893254097,0.959211224172931
MSTRG.32192_ENST00000538492.5,0.0273970849637736,0.222283224929242
MSTRG.62477_MSTRG.62477.1,0.0241816100870591,0.207625776403935
MSTRG.75603_MSTRG.75603.4,0.0449336657033099,0.284309701141205
MSTRG.32682_MSTRG.32682.18,0.551499617358788,0.824674616797511
MSTRG.50909_MSTRG.50909.1,0.834658923861009,0.947882786112418
MSTRG.85517_ENST00000265421.9,0.931150792222613,0.980954888852539
MSTRG.55138_ENST00000371792.5,0.598483219098711,0.849158520540983
MSTRG.15897_MSTRG.15897.5,0.777977446713676,0.928090047803869
MSTRG.9875_ENST00000456355.1,0.291815828303304,0.653680977751026
MSTRG.33792_MSTRG.33792.1,0.669223244884983,0.881179845051273
MSTRG.33348_ENST00000449606.5,0.801570828513985,0.937295195726646
MSTRG.58535_ENST00000438146.7,0.902661945726886,0.97275150506128
MSTRG.26404_MSTRG.26404.50,0.0636607154194558,0.336833355468368
MSTRG.39700_ENST00000355423.7,0.00107162154508799,0.0348199348418445
MSTRG.1058_ENST00000294489.10,0.782923522567358,0.92931150963106
MSTRG.80361_ENST00000615423.1,0.602017222501409,0.850912483725225
MSTRG.5614_ENST00000638901.1,0.554730956250733,0.826279286643343
MSTRG.59787_ENST00000383791.8,0.00908788511215006,0.123840727550163
MSTRG.39774_MSTRG.39774.1,0.175627082340778,0.531310860651073
MSTRG.36294_MSTRG.36294.6,0.85766042285991,0.9574930744397
MSTRG.13394_ENST00000361518.10,0.152393612203992,0.498481566001975
MSTRG.78077_ENST00000318471.5,0.656435579613776,0.875377587803174
MSTRG.15730_MSTRG.15730.1,0.398931907683696,0.734982534539792
MSTRG.33232_ENST00000261388.7,0.00935688408105865,0.125743061596804
MSTRG.74460_MSTRG.74460.1,0.745922926747746,0.913774265605198
MSTRG.22135_MSTRG.22135.2,0.00754211390278497,0.112541892645883
MSTRG.17614_MSTRG.17614.1,0.0455167219023932,0.285429676419743
MSTRG.65587_ENST00000515612.1,0.256069447092627,0.619390704663035
MSTRG.15800_ENST00000537918.1,0.74793852414249,0.914785564100993
MSTRG.86816_MSTRG.86816.7,0.548291529372647,0.823171613071524
MSTRG.3066_MSTRG.3066.1,0.360072135868461,0.70755971769015
MSTRG.18960_MSTRG.18960.26,0.0247602695505853,0.210236944042584
MSTRG.40489_ENST00000546007.6,0.272781189831724,0.63419505109166
MSTRG.13957_MSTRG.13957.1,0.637091077780541,0.868462894556302
MSTRG.4687_ENST00000483994.1,0.485289339626119,0.788741708959586
MSTRG.38322_MSTRG.38322.2,0.00377180747458786,0.0736681906505112
MSTRG.12877_ENST00000469758.5,0.19361597529567,0.553861277722384
MSTRG.20521_ENST00000660808.1,0.007603295159482,0.1131784231612
MSTRG.64729_MSTRG.64729.1,0.425531736718653,0.750367286653644
MSTRG.39536_ENST00000542342.6,0.635157202182335,0.867341098584893
MSTRG.37866_ENST00000646401.1,0.426166756456705,0.750758932406442
MSTRG.38421_ENST00000290216.14,0.0458737390287785,0.286336237405804
MSTRG.94199_MSTRG.94199.3,0.0468452107601201,0.288733917592273
MSTRG.8534_ENST00000477206.5,0.674146343513031,0.883326978613933
MSTRG.27942_ENST00000535815.5,0.596787999146495,0.848182148005726
MSTRG.18816_MSTRG.18816.3,0.796991001617512,0.935484747939337
MSTRG.20320_ENST00000603864.5,0.216646670147242,0.578871791785842
MSTRG.39701_MSTRG.39701.1,0.985647170758388,0.995676472124195
MSTRG.39405_ENST00000589228.5,0.683371156084569,0.887348321565091
MSTRG.43136_MSTRG.43136.15,0.86623092817299,0.960163022889178
MSTRG.26080_ENST00000382554.4,0.824979789323503,0.945041993185708
MSTRG.91834_ENST00000298537.11,0.167662358819999,0.521177134799914
MSTRG.65929_ENST00000263925.8,0.751419281771184,0.916582636826763
MSTRG.53454_ENST00000622179.4,0.295604617162035,0.656834045269855
MSTRG.36184_MSTRG.36184.1,0.11614335975774,0.446469113284789
MSTRG.25981_ENST00000319074.6,0.145355539226943,0.488281361888084
MSTRG.20192_ENST00000549441.7,0.662185531263295,0.878079211586264
MSTRG.27681_ENST00000557431.5,0.181345247943109,0.537313651337775
MSTRG.43179_MSTRG.43179.1,0.490478994324041,0.791395382742006
MSTRG.37368_ENST00000394673.6,0.593248800291917,0.846410655091146
MSTRG.57370_ENST00000481861.1,0.315162176686746,0.673959905792831
MSTRG.7585_MSTRG.7585.23,0.934802012311563,0.98176653547372
MSTRG.54550_ENST00000374104.7,0.29306243927176,0.654591271578866
MSTRG.30211_MSTRG.30211.3,0.00818238894896468,0.117060971791683
MSTRG.36148_ENST00000356683.6,0.249776268761123,0.615051643186056
MSTRG.42325_MSTRG.42325.55,0.133668819623758,0.472876518495408
MSTRG.41444_ENST00000285039.12,0.0320591915639164,0.240134259725851
MSTRG.59819_MSTRG.59819.1,0.000298649753402532,0.0170230359439443
MSTRG.59653_ENST00000430365.7,0.15221058508856,0.498335611245194
MSTRG.20650_MSTRG.20650.4,0.121267344769452,0.454651148784468
MSTRG.16066_MSTRG.16066.32,0.0197737230727049,0.187385519913434
MSTRG.45872_ENST00000302937.8,0.159373787768381,0.508674664409954
MSTRG.16189_MSTRG.16189.5,0.0551803966192721,0.313399491375321
MSTRG.58382_ENST00000493034.1,0.124890814388749,0.460540208950267
MSTRG.61114_MSTRG.61114.5,0.689308541544668,0.88978794848932
MSTRG.60825_ENST00000357955.6,0.703707207051731,0.895282484443172
MSTRG.6257_MSTRG.6257.22,0.0442164711161865,0.281695462682899
MSTRG.15939_MSTRG.15939.5,0.837892107629369,0.949070097798709
MSTRG.39700_ENST00000580322.5,0.833174299294168,0.947329953013706
MSTRG.42286_MSTRG.42286.6,0.924473295741369,0.979715190791578
MSTRG.11700_MSTRG.11700.15,0.0695259427082042,0.351404464140809
MSTRG.6049_MSTRG.6049.1,0.00139724336460301,0.0410386850232307
MSTRG.81958_MSTRG.81958.46,0.99114597781207,0.997493753302364
MSTRG.10369_MSTRG.10369.1,0.686499029603376,0.888424745738676
MSTRG.3498_ENST00000370986.9,8.39580787873599e-06,0.00157958612006653
MSTRG.47037_ENST00000606999.5,0.329218470212143,0.68486427789906
MSTRG.56724_ENST00000420455.5,0.541635534194223,0.819865165724667
MSTRG.70404_ENST00000506765.1,0.703345283751159,0.895118771697197
MSTRG.88087_MSTRG.88087.43,0.579463050596253,0.838616133041506
MSTRG.60602_MSTRG.60602.4,0.000233727013945637,0.0146275598467742
MSTRG.6298_MSTRG.6298.21,0.427059116304238,0.751225343521924
MSTRG.75537_MSTRG.75537.29,0.229295258181991,0.594083168926068
MSTRG.15060_MSTRG.15060.1,0.292219883270174,0.654207996726147
MSTRG.71011_MSTRG.71011.2,0.270705501214925,0.632708963915604
MSTRG.5862_ENST00000428024.3,0.306425762234261,0.665596536989387
