,coefficient
age,0.646304791628826
KRT3_MSTRG.20435,0.002022613421444641
TERT_MSTRG.69207,0.015059157845364981
AP000867.5_MSTRG.16428,0.0006204230347764408
AC073578.5_MSTRG.23147,0.06520846146274009
RCVRN_MSTRG.36344,-0.003558973161122761
RGS20_MSTRG.85786,0.010004321188583017
AC109479.1_MSTRG.73862,0.03579437841126813
AP002957.1_MSTRG.16839,0.059167892748312245
SNORA70F_MSTRG.50963,0.002495351533652949
LINC01285_MSTRG.94702,0.050218054502695314
TRPM8_MSTRG.53008,0.025009670026700424
MAFA_MSTRG.88085,0.006676710074335576
CCKBR_MSTRG.13938,0.029269337655382238
AL161457.2_MSTRG.89646,-0.05512406340559858
DDN_MSTRG.20160,0.014251077593125374
OLIG1_MSTRG.56710,0.002538528104103416
AP003100.1_MSTRG.17778,0.011337539385172178
ENDOU_MSTRG.20056,-0.013932240781776127
MRPS36P1_MSTRG.59506,0.0031742504207243148
DNER_MSTRG.52780,0.0171521818113648
ADGRB1_MSTRG.88006,0.025530569607922486
TADA2B_MSTRG.64904,-0.028432814554642027
AP001496.2_MSTRG.40398,-4.462632417898574e-05
LSAMP_MSTRG.62122,-0.00914250438812605
LRRN3_MSTRG.82407,-0.034460030307918825
TRIM68_MSTRG.13811,-0.016173278601693323
AC008758.4_MSTRG.43109,-0.02447218713848462
FGF18_MSTRG.73497,-0.019904179296629663
PDE1A_MSTRG.51462,-0.028162679490379854
TENT5C_MSTRG.4933,-0.0035981861608980273
NXNL2_MSTRG.90107,-0.01539619847666158
AC008632.1_MSTRG.73589,-0.026880966995731382
IGHV2-5_MSTRG.28736,-0.0015779484163718914
