fetures,p.val,p.adjust
-_MSTRG.37485,NA,NA
-_MSTRG.36245,NA,NA
PPIAP89_MSTRG.94203,0.253204273492369,1
-_MSTRG.16288,NA,NA
-_MSTRG.18063,NA,NA
-_MSTRG.81615,NA,NA
LINC02705_MSTRG.15514,0.598730721448095,1
-_MSTRG.37598,NA,NA
-_MSTRG.90496,NA,NA
-_MSTRG.65355,NA,NA
FILNC1_MSTRG.78161,0.20351040133547,1
MIR302CHG_MSTRG.67340,0.739082013210539,1
AL162412.1_MSTRG.89687,0.803135804807844,1
-_MSTRG.81445,NA,NA
-_MSTRG.52058,NA,NA
AC091144.2_MSTRG.85095,0.686026778666055,1
-_MSTRG.1090,NA,NA
-_MSTRG.11846,NA,NA
PGLYRP1_MSTRG.45148,0.664503722472801,1
-_MSTRG.3431,NA,NA
AL117187.2_MSTRG.28119,0.821011127477759,1
-_MSTRG.91707,NA,NA
SLC25A5P3_MSTRG.80628,0.000128611415898571,0.010181724482786
-_MSTRG.36569,NA,NA
-_MSTRG.73945,NA,NA
-_MSTRG.91621,NA,NA
-_MSTRG.93739,NA,NA
-_MSTRG.89100,NA,NA
-_MSTRG.2149,NA,NA
-_MSTRG.42094,NA,NA
C3orf35_MSTRG.60229,0.305778411524297,1
-_MSTRG.1750,NA,NA
-_MSTRG.66190,NA,NA
-_MSTRG.31813,NA,NA
-_MSTRG.37542,NA,NA
-_MSTRG.9381,NA,NA
LINC02652_MSTRG.10191,0.485278965857626,1
-_MSTRG.70085,NA,NA
LINC02325_MSTRG.28190,0.721528834482782,1
-_MSTRG.52032,NA,NA
-_MSTRG.75720,NA,NA
MIR6862-1_MSTRG.33520,0.923276933092474,1
-_MSTRG.16701,NA,NA
-_MSTRG.2893,NA,NA
-_MSTRG.70198,NA,NA
AC131025.2_MSTRG.72971,0.0106333236618628,0.270377411303207
-_MSTRG.21676,NA,NA
RNU4-29P_MSTRG.89946,0.346424720712592,1
MTND2P9_MSTRG.89900,0.831369895067563,1
HNRNPA1P70_MSTRG.21093,0.01970628787808,0.416312533990485
-_MSTRG.36855,NA,NA
-_MSTRG.2106,NA,NA
-_MSTRG.65168,NA,NA
-_MSTRG.60404,NA,NA
-_MSTRG.81633,NA,NA
HSPD1P5_MSTRG.68035,0.0612124003751523,0.877995204836935
AL033527.3_MSTRG.2426,0.669690662063049,1
-_MSTRG.47647,NA,NA
-_MSTRG.44514,NA,NA
RNU6-748P_MSTRG.86959,0.851895767554012,1
-_MSTRG.89875,NA,NA
