fetures,p.val,p.adjust
MSTRG.11857_MSTRG.11857.1,0.117328159928585,0.406250284435208
MSTRG.42988_MSTRG.42988.10,0.710458562604811,0.88996449493423
MSTRG.5450_MSTRG.5450.1,0.0271676002244231,0.181542461211538
MSTRG.80358_ENST00000489459.5,0.28396290755872,0.617978814273763
MSTRG.32167_ENST00000199706.13,0.0649777749175627,0.299666467551999
MSTRG.33706_ENST00000524644.5,0.733369196110699,0.89966578148104
MSTRG.8525_ENST00000470558.5,0.010322131461537,0.103656701272762
MSTRG.32927_ENST00000529166.5,0.63230326140683,0.858596201791463
MSTRG.16726_ENST00000663202.1,0.0468725316456357,0.250379285717917
MSTRG.64624_ENST00000304312.5,0.376732244901781,0.700333581024919
MSTRG.86341_ENST00000522568.1,0.215886682182897,0.544687180977819
MSTRG.60383_MSTRG.60383.7,0.352164670743239,0.679380201456505
MSTRG.42673_MSTRG.42673.41,0.386458284004944,0.70693460356191
MSTRG.964_MSTRG.964.33,0.838765759136832,0.942391905344729
MSTRG.10012_ENST00000444869.5,0.480805096893879,0.77326037313104
MSTRG.58860_ENST00000216218.8,0.811618344756418,0.932440890335308
MSTRG.40123_MSTRG.40123.16,0.234303288243442,0.566043585094588
MSTRG.58371_MSTRG.58371.17,0.350201445444586,0.677998667731411
MSTRG.55138_MSTRG.55138.15,0.585222868428003,0.833688941864391
MSTRG.48423_MSTRG.48423.1,0.437912325874722,0.744417749463392
MSTRG.33792_ENST00000380244.7,0.571188994788247,0.826684455986586
MSTRG.3096_MSTRG.3096.6,0.802359468518898,0.928185276125039
MSTRG.22941_MSTRG.22941.23,0.784684298040781,0.921074024955529
MSTRG.476_ENST00000354700.10,0.618492832696182,0.851638482855225
MSTRG.72660_MSTRG.72660.2,0.436374871854614,0.743349661486386
MSTRG.18715_MSTRG.18715.1,0.518301899462831,0.797175281132956
MSTRG.59200_ENST00000473624.1,0.0231038108342191,0.165334688833287
MSTRG.37993_ENST00000469698.5,0.116451653627575,0.404662727659863
MSTRG.39811_ENST00000591198.5,0.674579909378967,0.874828212161899
MSTRG.33417_ENST00000613406.1,0.505075315637769,0.790014575550452
MSTRG.18897_MSTRG.18897.1,0.0733533822682315,0.318963317142756
MSTRG.36010_MSTRG.36010.8,0.942425122848037,0.979914196398402
MSTRG.51175_MSTRG.51175.1,0.592549363031488,0.8382686813712
MSTRG.32192_ENST00000538492.5,0.281078467191163,0.615292686645759
MSTRG.62477_MSTRG.62477.1,0.00186715786167236,0.0338491563022719
MSTRG.75603_MSTRG.75603.4,0.0432105999218596,0.238069786954288
MSTRG.32682_MSTRG.32682.18,0.542042791991648,0.810050410069705
MSTRG.50909_MSTRG.50909.1,0.687586545720347,0.881157568690253
MSTRG.85517_ENST00000265421.9,0.303770647636234,0.636241023345573
MSTRG.55138_ENST00000371792.5,0.0190654328241748,0.148284862465677
MSTRG.15897_MSTRG.15897.5,0.830699495170332,0.939310986175453
MSTRG.9875_ENST00000456355.1,0.439371350947881,0.745364423620019
MSTRG.33792_MSTRG.33792.1,0.958352473946216,0.985421059722331
MSTRG.33348_ENST00000449606.5,0.734678669583889,0.900090577298739
MSTRG.58535_ENST00000438146.7,0.427630638538154,0.737518242745814
MSTRG.26404_MSTRG.26404.50,0.747435089272148,0.904654609128734
MSTRG.39700_ENST00000355423.7,0.107618068702595,0.386906751091593
MSTRG.1058_ENST00000294489.10,0.561222492754765,0.820679914552754
MSTRG.80361_ENST00000615423.1,0.653791127879426,0.867744827584416
MSTRG.5614_ENST00000638901.1,0.891015189300099,0.962777039016074
MSTRG.59787_ENST00000383791.8,0.0103374412249979,0.103733003086952
MSTRG.39774_MSTRG.39774.1,0.114587056700685,0.401925740868692
MSTRG.36294_MSTRG.36294.6,0.793090260132116,0.924287961601178
MSTRG.13394_ENST00000361518.10,0.228286942056538,0.559217559158112
MSTRG.78077_ENST00000318471.5,0.548968388756549,0.814018836754491
MSTRG.15730_MSTRG.15730.1,0.842340862079873,0.944223631342032
MSTRG.33232_ENST00000261388.7,0.295452217813373,0.629005420475455
MSTRG.74460_MSTRG.74460.1,0.430313750304675,0.738877382208748
MSTRG.22135_MSTRG.22135.2,0.0838637466722513,0.342524684121507
MSTRG.17614_MSTRG.17614.1,0.252876169964509,0.585366339748338
MSTRG.65587_ENST00000515612.1,0.0363761262129963,0.215749456433747
MSTRG.15800_ENST00000537918.1,0.212837545891599,0.541180437599668
MSTRG.86816_MSTRG.86816.7,0.205790942969121,0.532589235759841
MSTRG.3066_MSTRG.3066.1,0.465761851933439,0.763433314937343
MSTRG.18960_MSTRG.18960.26,0.0171138846253247,0.138720951514043
MSTRG.40489_ENST00000546007.6,0.0793084186148846,0.331767477898028
MSTRG.13957_MSTRG.13957.1,0.265084885348441,0.598336997275704
MSTRG.4687_ENST00000483994.1,0.905177083915255,0.966923926486882
MSTRG.38322_MSTRG.38322.2,0.018923352452592,0.147392863645652
MSTRG.12877_ENST00000469758.5,0.42470528162703,0.735159322584737
MSTRG.20521_ENST00000660808.1,0.00333475278487635,0.0500640927296476
MSTRG.64729_MSTRG.64729.1,0.532940992309133,0.804991944084701
MSTRG.39536_ENST00000542342.6,0.922315392350188,0.97244408989308
MSTRG.37866_ENST00000646401.1,0.529974131566804,0.803380522073794
MSTRG.38421_ENST00000290216.14,0.00483914272681028,0.0635370701705109
MSTRG.94199_MSTRG.94199.3,0.000774640316677959,0.0181061237528993
MSTRG.8534_ENST00000477206.5,0.0993329879915043,0.370975331851816
MSTRG.27942_ENST00000535815.5,0.969329067270795,0.989935083201845
MSTRG.18816_MSTRG.18816.3,0.709743129127418,0.889571060351725
MSTRG.20320_ENST00000603864.5,0.063653282647077,0.296729795052355
MSTRG.39701_MSTRG.39701.1,0.21295952997408,0.541402996947276
MSTRG.39405_ENST00000589228.5,0.615729552236498,0.850270616149189
MSTRG.43136_MSTRG.43136.15,0.399644545558879,0.716542959033226
MSTRG.26080_ENST00000382554.4,0.816308387264229,0.934198763934386
MSTRG.91834_ENST00000298537.11,0.014490634445428,0.126151721481405
MSTRG.65929_ENST00000263925.8,0.374821794710603,0.698836795889787
MSTRG.53454_ENST00000622179.4,0.830173609617186,0.938994959592714
MSTRG.36184_MSTRG.36184.1,0.161120869505296,0.474632509611355
MSTRG.25981_ENST00000319074.6,0.168651337061204,0.485316816874273
MSTRG.20192_ENST00000549441.7,0.671113824106086,0.873937770711323
MSTRG.27681_ENST00000557431.5,0.827197233206001,0.938407827210729
MSTRG.43179_MSTRG.43179.1,0.172145437497104,0.489807930444457
MSTRG.37368_ENST00000394673.6,0.857458347895374,0.950953975110263
MSTRG.57370_ENST00000481861.1,0.296711867242456,0.630624061022578
MSTRG.7585_MSTRG.7585.23,0.469512392369065,0.765863703307436
MSTRG.54550_ENST00000374104.7,0.433149399973024,0.741065985936524
MSTRG.30211_MSTRG.30211.3,0.28869900336368,0.622728837368269
MSTRG.36148_ENST00000356683.6,0.198842779915006,0.523738722151302
MSTRG.42325_MSTRG.42325.55,0.362405272600504,0.687149706601968
MSTRG.41444_ENST00000285039.12,0.0176524272023473,0.141508715442416
MSTRG.59819_MSTRG.59819.1,0.000873800383092192,0.0196553944032853
MSTRG.59653_ENST00000430365.7,0.0141249276087216,0.124145012815586
MSTRG.20650_MSTRG.20650.4,0.0426635193020355,0.236515179647931
MSTRG.16066_MSTRG.16066.32,0.00348130865953029,0.0516020092933022
MSTRG.45872_ENST00000302937.8,0.358824474142352,0.684496548808884
MSTRG.16189_MSTRG.16189.5,0.496724064560787,0.784500368826082
