,coefficient
AL137001.2_ENSG00000287861.1,0.04177121523679932
NEIL3_ENSG00000109674.4,0.005190541236062861
LINC01980_ENSG00000225548.7,0.04273646514918176
TICRR_ENSG00000140534.14,0.2569876256011057
KIF18A_ENSG00000121621.7,0.10823609342483438
RNFT2_ENSG00000135119.14,0.011001920541605828
DEPDC1B_ENSG00000035499.13,0.17144423119675442
SOX7_ENSG00000171056.8,-0.011501025783042249
RNF2_ENSG00000121481.11,-0.0038229910061155304
WDR62_ENSG00000075702.18,0.00714896703842033
GNG13_ENSG00000127588.5,0.05753767261554963
NCAPH_ENSG00000121152.10,0.10321836621068446
TMEM52_ENSG00000178821.13,0.026639410127759652
TRIP13_ENSG00000071539.14,0.036694783406971986
AURKA_ENSG00000087586.17,0.10572949010514521
PLAC9_ENSG00000189129.14,-0.10902594070408503
CKMT1A_ENSG00000223572.9,0.020072450034858358
