,coefficient
ENSG00000169679.15_ENST00000302759.11,0.11284948999015829
ENSG00000156970.12_ENST00000287598.10,0.019687065159575683
ENSG00000071539.14_ENST00000166345.8,0.1325437357769198
ENSG00000146670.10_ENST00000275517.8,0.01205233078102453
ENSG00000089685.15_ENST00000374948.6,0.06966916295338543
ENSG00000093009.10_ENST00000263201.6,0.005574846116115417
ENSG00000164611.13_ENST00000352433.10,0.019095389669648445
ENSG00000189129.14_ENST00000372263.4,-0.037587157933896116
ENSG00000166851.15_ENST00000300093.9,0.10215556826672029
ENSG00000101057.16_ENST00000217026.5,0.011373962453560415
