,coefficient
MIR449C_ENSG00000251856.1,-0.0016987730335163277
AC079089.1_ENSG00000246528.3,0.015603262874934881
RNU6-658P_ENSG00000207336.1,0.021755197927049167
MIR1976_ENSG00000238705.1,-0.02995043926401415
B4GALT1-AS1_ENSG00000233554.6,-0.015701449498376836
AP001574.1_ENSG00000253217.1,0.030306811567670962
AC010680.4_ENSG00000271141.1,-0.01084709723017845
MIR2117_ENSG00000284344.1,0.017755602834963618
ST7-OT4_ENSG00000214188.9,-0.0001040689415458457
CASP1P2_ENSG00000254750.1,0.028959713571151784
GPR63_ENSG00000112218.9,0.03285624377254178
AL591848.4_ENSG00000260855.1,-0.007664272074928293
HIPK4_ENSG00000160396.9,-0.0009366517914896883
LINGO2_ENSG00000174482.10,-0.0144493695701145
AC006273.1_ENSG00000272473.1,-0.0019234119664307166
R3HDML_ENSG00000101074.4,-0.00787956965869247
MIR553_ENSG00000207750.1,0.028118785161286908
AC090844.1_ENSG00000226117.1,0.021183895503948995
NANOGNBP3_ENSG00000270813.2,0.005865159616973688
TAC4_ENSG00000176358.15,-0.04089574839915966
AC021146.12_ENSG00000272626.1,0.0024262528003513263
CRYBB3_ENSG00000100053.10,0.00011064603417143394
AL359091.2_ENSG00000228510.2,-0.014311417309020821
MAGEA10_ENSG00000124260.12,-0.03971024917099978
PRC1-AS1_ENSG00000258725.2,0.032912864456394186
SHD_ENSG00000105251.10,0.010303654032773337
PNMA3_ENSG00000183837.9,0.020164093498725895
RNU6-513P_ENSG00000251913.1,-0.02156853304844424
AC110792.3_ENSG00000272650.1,0.0033145185473235517
AC092818.1_ENSG00000254038.1,0.007811965725617259
AC025280.1_ENSG00000260859.1,-0.025959720296773344
BTF3P4_ENSG00000224820.2,-0.010467979706655273
OIT3_ENSG00000138315.13,-0.006820087215142087
AC058823.1_ENSG00000242318.1,0.02129459509717073
LINC00634_ENSG00000205704.7,0.006528769212456685
RNU6-1157P_ENSG00000207185.1,-0.035897351873361606
AC112907.2_ENSG00000231982.1,0.004497478292937491
MROH2A_ENSG00000185038.14,-0.012067614885011535
AC005726.3_ENSG00000264608.1,-0.0008534704062351108
AP000812.5_ENSG00000284922.1,-0.008461389993499017
POLR2KP1_ENSG00000258284.1,0.013703612916158962
U3_ENSG00000221044.2,-0.0016021028348193688
SOX3_ENSG00000134595.8,0.02757568430307218
RAPSN_ENSG00000165917.10,0.004004412283299435
SUMO1P1_ENSG00000241721.1,-0.005201842719975304
AC026704.1_ENSG00000251307.1,-0.005288925411050106
MC5R_ENSG00000176136.6,-0.010568136643401893
GABRB1_ENSG00000163288.14,0.010786623248981433
AC011676.1_ENSG00000253307.1,0.013628687319728182
SHISA3_ENSG00000178343.5,-0.015332728613805
AC131159.1_ENSG00000276292.1,0.009718603667158493
AC092171.1_ENSG00000188365.3,-0.0020471343031124873
AC003070.1_ENSG00000267344.1,-0.007390855669711605
RNU6-312P_ENSG00000201499.1,-0.018702055309819103
NKX1-2_ENSG00000229544.9,0.01108945498764633
LINC00393_ENSG00000224853.3,0.017580601839159236
HLA-S_ENSG00000225851.1,-0.0037742174717493933
RNU6-94P_ENSG00000271819.1,-0.011493216146468203
CALHM1_ENSG00000185933.6,0.012817964110258309
GPRC5D_ENSG00000111291.8,0.002682088039825295
PRSS35_ENSG00000146250.7,-0.0009170582315526783
ADRA2B_ENSG00000274286.2,0.01493226402746961
AC114730.1_ENSG00000215692.2,-0.03696759251099284
MIR6793_ENSG00000275640.1,0.0006732475554129606
AC090204.1_ENSG00000247134.7,-0.0010096037582924874
MIR4258_ENSG00000264349.1,-0.0029384065297081963
LINC01556_ENSG00000204709.4,0.015652305399922743
C1QL4_ENSG00000186897.5,0.0019619149425578416
RFPL1S_ENSG00000225465.9,-0.001648280821139654
AC022784.1_ENSG00000248538.8,0.012020555782524407
AC010883.1_ENSG00000234936.1,-0.010593688687017168
AC008764.4_ENSG00000268790.5,0.0015828037860126387
C1QL2_ENSG00000144119.4,0.029888890704242277
AC025062.2_ENSG00000271654.1,0.018685516400355436
NDUFB4P11_ENSG00000259374.2,0.021935709906141708
AL078582.1_ENSG00000284615.1,0.015673155053062528
FAM207BP_ENSG00000228797.2,0.007141789068441012
AC010531.1_ENSG00000131152.4,0.01524797635495856
PAX6_ENSG00000007372.23,0.0009570635088476036
AC093515.1_ENSG00000260289.2,0.0033298672584394333
ELAVL2_ENSG00000107105.15,0.012255155550475363
AP003486.1_ENSG00000255455.2,-0.002476889211198207
ZFP2_ENSG00000198939.8,-0.023651958889127068
SNORD101_ENSG00000206754.1,0.014854943860670156
NOXO1_ENSG00000196408.11,0.01920897839017399
AC090517.4_ENSG00000285253.1,-0.008865957439618915
AL157895.1_ENSG00000233968.7,-0.00013687231177823259
AL512274.1_ENSG00000261068.2,-0.021212637878784073
FAM180B_ENSG00000196666.5,-0.0007689501357273977
NEIL3_ENSG00000109674.4,0.03597538931360968
SLC17A7_ENSG00000104888.10,-0.010409950646350192
CHRNA5_ENSG00000169684.13,0.00043929729932469535
LINC02542_ENSG00000226453.2,0.04163299008057206
KDM4C_ENSG00000107077.18,-0.04231534745892783
C2orf27AP1_ENSG00000273693.1,0.01832609946373386
AP005018.2_ENSG00000254851.1,-0.01769388049928387
TMEM26-AS1_ENSG00000237233.2,-0.0025808674450134273
LINC01980_ENSG00000225548.7,0.004458853652529107
INKA2_ENSG00000197852.12,-0.010650541786361835
TICRR_ENSG00000140534.14,0.08135639103061129
PRRT3-AS1_ENSG00000230082.1,0.0018354801536529233
ZDHHC22_ENSG00000177108.5,0.012353419023207727
TRAIP_ENSG00000183763.9,0.02776685374673312
EMC3-AS1_ENSG00000180385.8,0.02174209206830569
EPO_ENSG00000130427.3,0.027461350235275638
SEC16B_ENSG00000120341.18,-0.030900705542648926
ZFYVE28_ENSG00000159733.13,-0.014480279034213412
LEPROT_ENSG00000213625.9,-0.02630789779824351
AL355001.2_ENSG00000275964.1,-0.005510053954497861
RNFT2_ENSG00000135119.14,0.0006953333540808716
NEFL_ENSG00000277586.2,-0.05563003598470007
DEPDC1B_ENSG00000035499.13,0.13862095508220434
AP000438.1_ENSG00000257002.1,0.0033037567714916264
TENM3-AS1_ENSG00000177822.8,-0.0035412458617311276
ITGA10_ENSG00000143127.13,-0.006782607938500545
PTGFR_ENSG00000122420.10,-0.007373237321874102
F2RL3_ENSG00000127533.4,0.022960170785518236
APOM_ENSG00000204444.11,-0.0013553556627606002
CD300LB_ENSG00000178789.9,-0.012182910206275743
FBXO36_ENSG00000153832.12,-0.04719546789396471
AL139220.2_ENSG00000230615.7,-0.0186148616089203
DSCC1_ENSG00000136982.6,0.02503774052906202
YIPF1_ENSG00000058799.15,-0.005994663326157654
HELLS_ENSG00000119969.15,0.03198557338424344
FAM161B_ENSG00000156050.10,-0.0063822999422044075
FNDC5_ENSG00000160097.18,-0.012302525634287388
FAM181B_ENSG00000182103.5,-0.006773521924715021
TNFSF4_ENSG00000117586.11,0.019450105800790173
FUCA1_ENSG00000179163.11,-0.07899758629640206
BBOF1_ENSG00000119636.16,-0.0325988382045311
CRYZL2P_ENSG00000242193.11,-0.04014649525023056
SPC24_ENSG00000161888.11,0.021406684549961367
CYCSP55_ENSG00000214810.4,-0.0739976716490216
ACOT1_ENSG00000184227.8,-0.018832858852984795
SLC38A3_ENSG00000188338.15,0.003921662076707748
ZMAT4_ENSG00000165061.15,0.012349163823720298
FAM47E_ENSG00000189157.14,-0.007306204190450626
