,coefficient
ENSG00000117640.18_ENST00000374307.9,-0.032877683508970856
ENSG00000164611.13_ENST00000519287.1,0.023623501757155635
ENSG00000170619.10_ENST00000305103.4,0.00015782045119709168
ENSG00000163913.11_ENST00000513190.1,0.00038056393051348077
ENSG00000156970.12_ENST00000287598.10,0.026185170005343823
ENSG00000070778.13_ENST00000328736.7,-0.007603768208581155
ENSG00000149577.16_ENST00000324225.9,-0.03115986593935193
ENSG00000125962.14_ENST00000246174.6,-0.00547925685699452
ENSG00000151090.19_ENST00000356447.9,-0.006897890445389083
ENSG00000080986.13_ENST00000261597.9,0.00991884042578976
ENSG00000170312.16_ENST00000316629.8,0.007029211032376323
ENSG00000137807.15_ENST00000352331.8,0.04047303500373625
ENSG00000243789.11_ENST00000397299.9,-0.0022320370245623314
ENSG00000162909.18_ENST00000295006.6,-0.009310396496973712
ENSG00000111669.15_ENST00000493987.5,0.01767905259991928
ENSG00000172380.6_ENST00000370982.4,-0.01280160884871737
ENSG00000083544.14_ENST00000377881.6,-0.008672021289730126
ENSG00000073111.14_ENST00000265056.12,0.014957540773283946
ENSG00000160949.17_ENST00000409379.8,0.029283650690503683
ENSG00000276043.5_ENST00000650932.1,0.013376482845218212
ENSG00000152939.17_ENST00000454295.6,0.013951014946614148
ENSG00000172831.13_ENST00000417689.6,-0.02161079901971847
ENSG00000203760.8_ENST00000368325.5,0.021093667429346354
ENSG00000068650.18_ENST00000487903.5,-0.0017501275592181904
ENSG00000197555.9_ENST00000381232.7,0.005391300999454271
ENSG00000282608.1_ENST00000241356.4,0.028300314702903905
ENSG00000100167.20_ENST00000396425.7,0.027128038341812172
ENSG00000237441.10_ENST00000497454.6,-0.07885918092268852
ENSG00000027869.11_ENST00000368199.7,0.014320350053622765
ENSG00000131043.12_ENST00000373932.3,0.0054194909544170115
ENSG00000151725.12_ENST00000281453.10,0.07787783785740914
ENSG00000164587.13_ENST00000312037.6,0.006187688593753417
ENSG00000226950.7_ENST00000411630.6,0.0025163894762619127
ENSG00000261373.1_ENST00000562866.1,0.005307102274583372
ENSG00000183856.11_ENST00000361170.7,0.004476227935929376
ENSG00000102575.13_ENST00000590420.1,-0.0029252342778551274
ENSG00000149743.14_ENST00000394547.7,-0.009876247893188514
ENSG00000068078.18_ENST00000481110.6,-0.00361889683222461
ENSG00000104529.17_ENST00000527741.5,0.033567409997201356
ENSG00000157870.16_ENST00000444521.6,-0.006459953924482969
ENSG00000029993.15_ENST00000455596.5,0.010125439312846842
ENSG00000160584.16_ENST00000375300.6,-0.01387156016009089
ENSG00000110172.12_ENST00000525317.5,0.027360753240442275
ENSG00000099203.7_ENST00000591157.1,-0.010411771882584237
ENSG00000122952.17_ENST00000494312.5,0.042362212031099224
ENSG00000156253.7_ENST00000472184.1,-0.019951793114530193
ENSG00000183840.7_ENST00000329321.4,-0.00752956709930431
ENSG00000130487.9_ENST00000648057.3,0.001878589949167082
ENSG00000117724.13_ENST00000366955.8,0.0006199369101738356
ENSG00000131153.9_ENST00000253462.8,0.05358064028004264
ENSG00000117385.15_ENST00000460031.5,-0.0025118040595128303
ENSG00000173894.11_ENST00000310942.9,0.08043292399367175
ENSG00000178726.6_ENST00000377103.2,-0.0075616005796924485
ENSG00000117054.13_ENST00000526196.5,-0.006418168505695081
ENSG00000141447.18_ENST00000399443.7,-0.021310934013802244
ENSG00000130529.16_ENST00000596338.5,-0.017295990346678128
ENSG00000089685.15_ENST00000350051.8,0.04312123736283524
ENSG00000087191.13_ENST00000581882.5,0.01211774792385616
ENSG00000116133.13_ENST00000371269.9,-0.005475058776602308
ENSG00000134057.15_ENST00000256442.10,0.0332205754697436
ENSG00000005469.11_ENST00000331536.7,-0.03538389422305344
ENSG00000127564.17_ENST00000262300.13,0.007678644307753465
ENSG00000105011.9_ENST00000263382.8,0.01048669350615116
ENSG00000177674.16_ENST00000452018.6,-0.024315285904280167
ENSG00000197892.13_ENST00000524189.6,-0.0046933545874855535
ENSG00000129187.14_ENST00000500813.6,-0.011804382325145135
ENSG00000157456.8_ENST00000288207.7,0.05097310758049228
ENSG00000089685.15_ENST00000374948.6,0.06609648481034608
ENSG00000151651.16_ENST00000415217.7,0.058435911898200396
ENSG00000079819.19_ENST00000527411.5,-0.01281325147516622
ENSG00000125968.9_ENST00000376112.4,-0.013292725951675452
ENSG00000196655.12_ENST00000434101.6,-0.0016777559822693188
ENSG00000166592.12_ENST00000299759.11,-0.017895996317263033
ENSG00000111206.12_ENST00000361953.7,0.040167454894596576
ENSG00000162444.12_ENST00000294435.8,-0.007286148869776867
ENSG00000164611.13_ENST00000352433.10,0.09484985459376322
ENSG00000056998.20_ENST00000398806.8,-0.006073013708437966
ENSG00000138413.13_ENST00000415913.5,-0.017142654359322582
ENSG00000112559.14_ENST00000230321.10,-0.014394214421104334
ENSG00000131051.24_ENST00000639702.1,0.005265366977114653
ENSG00000116604.18_ENST00000360595.7,-0.008202721707261839
ENSG00000117399.14_ENST00000310955.11,0.030264429101499336
ENSG00000130558.19_ENST00000252854.8,-0.001867694757011056
ENSG00000189129.14_ENST00000372263.4,-0.028110246235457336
ENSG00000242028.6_ENST00000406925.5,0.004819631267298638
ENSG00000166851.15_ENST00000300093.9,0.04970493137393704
ENSG00000104529.17_ENST00000442189.6,0.007026542362969116
ENSG00000163466.16_ENST00000420201.5,-0.00428202190252494
ENSG00000104447.12_ENST00000640765.1,0.003145814767916065
ENSG00000139055.7_ENST00000266397.7,-0.031726641069845685
ENSG00000117682.17_ENST00000434391.6,-0.008510351383403158
ENSG00000137331.12_ENST00000259874.6,-0.0004887936294123565
ENSG00000237289.9_ENST00000441322.5,0.012582440807432661
ENSG00000184828.10_ENST00000535628.6,-0.006110758443030254
ENSG00000090104.12_ENST00000498352.1,0.050022143102440145
ENSG00000170345.10_ENST00000556324.2,-0.04956457680677989
ENSG00000101057.16_ENST00000217026.5,0.1385578654408344
ENSG00000141736.13_ENST00000578373.5,-0.00391849175539311
ENSG00000166106.3_ENST00000299164.3,-0.016762826068744432
ENSG00000168734.14_ENST00000372891.7,-0.007117596969669644
ENSG00000100316.16_ENST00000401609.5,-0.0021342664741578633
ENSG00000167671.12_ENST00000394765.7,-0.027303013277979824
ENSG00000101310.17_ENST00000262544.6,-0.013226169401570946
ENSG00000070756.16_ENST00000520868.5,0.003849129473268306
ENSG00000197756.10_ENST00000600880.5,0.007977008141943064
ENSG00000114023.15_ENST00000232125.9,0.00945327403542036
ENSG00000179950.14_ENST00000313352.11,0.0026721734114667516
ENSG00000111341.10_ENST00000539261.6,-0.010151583148957777
ENSG00000204628.12_ENST00000507756.5,0.007950055594411466
treatGroup=EndoCyto,0.1846198386256244
