genes,p-val
RFS_all_event,0.9905290147177381
AC010598.1_ENSG00000251374.1,0.5773359188178732
AC012464.1_ENSG00000257283.1,0.15812113639043443
AL136129.1_ENSG00000286826.1,0.46356068596330835
MIR6165_ENSG00000277478.1,0.38910697234441327
WFIKKN2_ENSG00000173714.8,0.2782722490727271
AC005837.3_ENSG00000274051.1,0.47217364091460223
AC025575.2_ENSG00000258053.1,0.009453682940581236
AC004870.1_ENSG00000214754.3,0.31376884577498876
RN7SL521P_ENSG00000240877.3,0.4399198284781246
EEF1E1-BLOC1S5_ENSG00000265818.1,0.3561447078547151
AC004080.1_ENSG00000253308.2,0.37031211364117145
AL158040.1_ENSG00000221042.1,0.40478320535709844
AC068987.3_ENSG00000261586.2,0.6350971601944416
AL158063.1_ENSG00000276957.1,0.1944632790625044
MIR4640_ENSG00000284370.1,0.32717712471258026
H2AFB2_ENSG00000277858.1,0.02839855311344729
ACTBL2_ENSG00000169067.4,0.2371912145476605
AL136038.4_ENSG00000270878.1,0.3666695258116728
GRM6_ENSG00000113262.16,0.07865087911110703
AC022387.2_ENSG00000286373.1,0.21792911138948615
AC069209.1_ENSG00000274029.1,0.9084309872616324
LINC01160_ENSG00000231346.5,0.19869458738557697
AC073912.2_ENSG00000256299.1,0.7765525936907944
MIR449C_ENSG00000251856.1,0.32316107851271225
FAM170A_ENSG00000164334.15,0.6121508062573764
HEPN1_ENSG00000221932.6,0.45138050542685015
SEMA6A-AS2_ENSG00000249167.2,0.17047938965230813
AC025034.1_ENSG00000258302.2,0.003466844504937346
ASXL3_ENSG00000141431.12,0.34172894157370287
AL732314.4_ENSG00000280767.3,0.22218909364866746
FBXW11P1_ENSG00000230870.2,0.08976637878788936
AL645939.4_ENSG00000272236.1,0.3265218161783956
SLC26A7_ENSG00000147606.9,5.338381804137991e-05
SNRPFP1_ENSG00000231878.1,0.34743734169327123
AC015849.3_ENSG00000270871.1,0.3384799516049867
RNU6-196P_ENSG00000207042.1,0.24243234871995548
ZNF603P_ENSG00000216901.1,0.3095003174634798
AL078459.1_ENSG00000223653.6,0.7963657567461551
AC006238.1_ENSG00000272799.1,0.21021928489830322
AACSP1_ENSG00000250420.8,0.2157871684976337
RNU6-431P_ENSG00000206601.1,0.7388802939113654
MEIS1-AS2_ENSG00000230749.5,0.06691892892487994
HNRNPA1P27_ENSG00000233680.4,0.656457644379562
AC019257.1_ENSG00000253764.3,0.03584621407340731
SH3GL3_ENSG00000140600.17,7.540799633419245e-09
ANGPTL5_ENSG00000187151.7,0.4837389537301159
PTPN2P1_ENSG00000228196.1,0.9062420071644872
MAPK6-DT_ENSG00000259438.1,0.7372474388697681
LINC01906_ENSG00000265786.1,0.05659603199776269
AC009237.6_ENSG00000235959.1,0.45443443174722375
CHTF8P1_ENSG00000233543.1,0.41348613150723035
KRT18P20_ENSG00000257758.1,0.6111916533756808
AL355297.3_ENSG00000271265.1,0.3786931780993904
TMEM72_ENSG00000187783.12,0.4755799414566868
AC091151.5_ENSG00000287943.1,0.3212556819883867
RPL18AP7_ENSG00000232439.1,0.5318123727452051
PPIAP73_ENSG00000182000.9,0.5712890799653266
MIR3936_ENSG00000263597.1,0.8780316585396785
AL691432.1_ENSG00000269737.2,0.6121250040156544
RPL3P3_ENSG00000243388.1,0.060800448883260895
SNORD109B_ENSG00000239169.1,0.21221427986867214
FIGNL2-DT_ENSG00000259887.1,0.4060412218606051
LINC00989_ENSG00000250334.6,0.005210847785223519
AP000695.3_ENSG00000279365.1,0.583729481932168
GRM5_ENSG00000168959.14,0.9143856432999158
OR6B3_ENSG00000178586.5,0.07442740355105854
SPACA4_ENSG00000177202.3,0.4129879736616904
AL589182.2_ENSG00000278594.1,0.5668940807897451
AL121950.1_ENSG00000279127.1,0.3809686617299468
SNORD11B_ENSG00000271852.1,0.0013144019904302443
LINC02041_ENSG00000228952.1,0.03031125622826414
AC104073.2_ENSG00000237026.1,0.571124286956165
ALDOB_ENSG00000136872.20,0.302982770399163
AC012441.1_ENSG00000227080.2,0.9020260806805974
AC016769.2_ENSG00000224669.1,0.3856481961504894
FKBP6_ENSG00000077800.13,0.1688499166104586
AL137247.2_ENSG00000270008.1,0.2553592132221031
MIR1285-1_ENSG00000221520.1,0.2685094592618852
AC108688.1_ENSG00000243508.1,0.6975428314008516
AC130352.1_ENSG00000270154.1,0.31360585583232486
ATP6V0CP3_ENSG00000213435.3,0.7828318153403868
KRT18P52_ENSG00000237007.4,0.015834104190290337
ARPC3P5_ENSG00000214027.3,0.45067519057935645
AC004233.3_ENSG00000274367.1,0.1445551460882041
PLGLB2_ENSG00000125551.19,0.7460103854859044
AC129507.3_ENSG00000262558.1,0.61451431290466
MIR6740_ENSG00000275207.1,0.009795599401089214
Z94721.3_ENSG00000285730.1,0.32730650378619375
RPL10P18_ENSG00000253995.1,0.7588848491097338
AL392083.2_ENSG00000287043.1,0.632400051138858
AC005332.1_ENSG00000265100.1,0.5427654370544561
AC073475.1_ENSG00000250938.6,0.5147467056181798
AC011246.1_ENSG00000286481.1,0.24218576970103314
AL031728.1_ENSG00000231105.2,0.10803513448223444
FLJ45513_ENSG00000204584.1,0.1438664258139323
RN7SL589P_ENSG00000239247.3,0.5382979616844012
AC026784.1_ENSG00000234865.3,0.010000871067689437
CPNE6_ENSG00000100884.9,0.15602428318707035
AF106564.1_ENSG00000272163.1,0.007347520688021993
AC114810.1_ENSG00000271868.1,0.652352210302572
GAPDHP59_ENSG00000231739.2,0.06603583213181116
LINC00520_ENSG00000258791.9,0.3476045678904328
AC125388.1_ENSG00000241069.1,0.5698441015945872
NLRP4_ENSG00000160505.16,0.007077501680785484
SPRY3_ENSG00000168939.11,0.693768361538516
MIR26A2_ENSG00000207789.1,0.20140729240402616
Y_RNA_ENSG00000252585.1,0.22383649396980673
PDE4DIPP1_ENSG00000229828.2,0.5391781348118094
IDO2_ENSG00000188676.13,0.005399910085624046
IGHV3-76_ENSG00000253247.1,0.40397847207260207
AC099513.1_ENSG00000230929.5,0.30612753725530206
FABP7P1_ENSG00000226766.1,0.1735126580302495
LINC02137_ENSG00000260186.5,0.31834557185971957
UBE2L4_ENSG00000267741.1,0.6579988719708074
RNU1-4_ENSG00000207389.1,0.7522693881700466
AC079322.1_ENSG00000261187.1,0.6399760725686491
BOK-AS1_ENSG00000234235.1,0.17810208813409661
C1QL3_ENSG00000165985.10,9.257951392663475e-05
SMAD5-AS1_ENSG00000164621.5,0.7439082144882639
AL353135.1_ENSG00000271931.1,0.8080943243605836
AC002401.4_ENSG00000276851.1,0.5105480463517877
AL136366.1_ENSG00000225472.2,0.9328298125388873
AL353747.3_ENSG00000231720.1,0.7953300406950823
MIR601_ENSG00000207991.1,0.7344184161050148
AC133540.1_ENSG00000278716.1,0.15997966627915244
LINC02328_ENSG00000258733.6,0.8281692664269722
AP001627.1_ENSG00000225731.1,0.3795475667159175
SLITRK2_ENSG00000185985.10,0.05579868995271124
LINC01159_ENSG00000229743.4,0.005835946557994672
AC124312.1_ENSG00000214265.11,0.018472533270493193
AC104971.1_ENSG00000267226.2,0.5379775505168999
RNVU1-2_ENSG00000252135.1,0.4439325338066241
AC026412.2_ENSG00000232615.4,0.09622285418926875
AC007448.5_ENSG00000285877.1,0.285176734806866
LINC02616_ENSG00000261761.5,0.7212799096531388
AC006262.2_ENSG00000269729.1,0.7804366718631955
AL157400.5_ENSG00000249962.1,0.38075664984533153
FSCN3_ENSG00000106328.10,0.8156035879832113
AC012501.3_ENSG00000242575.1,0.015574680011229513
RPL22P11_ENSG00000233707.3,0.8087778279954292
ASS1P2_ENSG00000223922.1,0.5912626381681749
Y_RNA_ENSG00000238713.1,0.6094997279142625
FAM182A_ENSG00000125804.14,0.0698922202519493
NMRAL2P_ENSG00000171658.8,0.2524755386294748
AC091564.1_ENSG00000241678.1,0.7342473959294218
GRTP1-AS1_ENSG00000225083.2,0.6665799175857142
MEF2C-AS2_ENSG00000245864.3,0.5020352482291222
AL020997.3_ENSG00000270031.1,0.2713227280641879
TCP1P1_ENSG00000229161.2,0.2429992243708629
PPIAL4A_ENSG00000263353.3,0.12369763891923363
FOXD1-AS1_ENSG00000247993.2,0.00020358001229348573
AC079384.1_ENSG00000258346.1,0.6049700215002922
AC020765.5_ENSG00000285020.1,0.9145654720828953
AC241377.2_ENSG00000275585.2,0.9730311427603323
AC012491.1_ENSG00000271074.1,0.10042883809264215
AL022318.2_ENSG00000259421.1,0.8610500068569357
RNU6-1005P_ENSG00000207248.1,0.7527094713192415
AC092919.1_ENSG00000240497.3,0.9699626467197636
AL499604.1_ENSG00000287070.1,0.775595421001369
Y_RNA_ENSG00000206660.1,0.08351568961239907
LINC01603_ENSG00000253479.6,0.6533905237189268
AL022334.2_ENSG00000273044.1,0.8138831977004011
MIR6806_ENSG00000277588.1,0.6120664123873655
AP000812.1_ENSG00000204971.3,0.5020800729066905
MIR3174_ENSG00000265871.1,0.769994648928733
AC007325.3_ENSG00000278573.1,0.6044533429383532
AC011890.1_ENSG00000181511.5,0.0831794668857297
AC007342.7_ENSG00000279722.1,0.6933464033883363
NRN1L_ENSG00000188038.8,0.4350434553542889
AC139099.2_ENSG00000262898.3,0.14175207083758506
AC112254.1_ENSG00000287164.1,0.6842659528095911
AC027088.1_ENSG00000137808.12,0.886722754683576
GAPDHP38_ENSG00000249210.1,0.01265544744603341
RNU6-1315P_ENSG00000252996.1,0.6550352116684344
STPG4_ENSG00000239605.11,0.4125927579357802
MIR3616_ENSG00000264901.1,0.24594011773389732
PRSS46P_ENSG00000261603.3,0.1973941535099459
AL049555.1_ENSG00000261116.1,0.07740684864284786
AL049874.3_ENSG00000258670.1,0.2889288117533054
AC008635.1_ENSG00000269487.1,0.7196273730167398
GVQW2_ENSG00000279968.2,0.9410211383988009
AC006946.2_ENSG00000273203.1,0.2040402067454232
AL158823.1_ENSG00000228053.1,0.010604485835498249
AC113608.1_ENSG00000214657.4,0.3091758573300236
SNORA40_ENSG00000210825.1,0.6634019614945101
AC078942.1_ENSG00000225365.1,0.03500217685415562
AL672277.1_ENSG00000237531.6,0.5151993668517884
RPL7P37_ENSG00000226646.1,0.8226571653942218
AC024563.1_ENSG00000268981.5,0.6533731472447257
AC097358.2_ENSG00000272202.1,0.33304352679799015
AC243967.2_ENSG00000268833.1,0.2434555275290836
CAPN14_ENSG00000214711.10,0.35220059007958293
AL121992.2_ENSG00000271742.1,0.7463526571321712
MIR6868_ENSG00000275360.1,0.5104275245495955
ANKRD20A21P_ENSG00000277112.3,0.21648183029694873
AC104964.1_ENSG00000253641.6,0.9646956264269867
AC022211.1_ENSG00000263786.1,0.5359014688370143
MFRP_ENSG00000235718.9,0.1360035363268245
IGF2BP1_ENSG00000159217.10,3.674889852225305e-08
AC012066.1_ENSG00000213197.3,0.6577342667571575
ABCB11_ENSG00000073734.10,0.1480594793705408
AC129492.2_ENSG00000263427.1,0.7622807156881655
FUCA1P1_ENSG00000237053.1,0.8608133120941911
AL353898.1_ENSG00000225183.1,0.18550056856975017
AL139099.2_ENSG00000258450.1,0.32526066220535776
AC005076.2_ENSG00000278236.1,0.05906301616548496
AC008758.1_ENSG00000196826.7,0.885654689398577
RNU6-883P_ENSG00000207327.1,0.7678839813544603
MIR24-1_ENSG00000284459.1,0.825449691431571
AC017116.2_ENSG00000285596.1,0.3079411232227319
RNU6-853P_ENSG00000201176.1,0.5699464785622594
MIR3175_ENSG00000284324.1,0.33016301153471256
AC079089.1_ENSG00000246528.3,0.006326459265292277
CALHM3_ENSG00000183128.7,0.42033551320138207
AL353708.1_ENSG00000260360.1,0.6944742253542969
AC000085.1_ENSG00000287146.1,0.5683288159498441
TPI1P3_ENSG00000186743.2,0.0003740057621363254
AC010240.2_ENSG00000235253.1,0.012089989310251629
MIR645_ENSG00000208018.1,0.8148033652350571
Z69667.1_ENSG00000286901.1,0.4397908824401302
AC004943.1_ENSG00000259209.3,0.18920401124479613
AC098820.3_ENSG00000241520.1,0.4212246123929273
LNCPRESS1_ENSG00000232301.2,0.022072150768018193
AC007224.2_ENSG00000279357.1,0.16938991745044252
RPL22P8_ENSG00000237745.1,0.7680956377090663
AC012636.1_ENSG00000249825.6,0.5637158139479594
RNU6-658P_ENSG00000207336.1,0.9872344789465299
LINC01772_ENSG00000226029.1,0.04502689895821711
LDC1P_ENSG00000260386.6,0.8494680830366603
CDH10_ENSG00000040731.10,0.9803863298764569
LRRC37A15P_ENSG00000230069.3,0.049796482303909345
L34079.3_ENSG00000269583.1,0.164329071211601
MIR3147_ENSG00000266168.1,0.5935686674688785
RPL4P1_ENSG00000240954.1,0.7508875494081084
MIR4469_ENSG00000284062.1,0.5958251149232385
DSCAM_ENSG00000171587.15,0.17164271601316003
RPL36AP39_ENSG00000230980.1,0.7334768286870648
Y_RNA_ENSG00000252652.1,0.8954445952544349
ARHGEF7-AS2_ENSG00000235875.3,0.0262168351483268
THAP12P1_ENSG00000230665.3,0.0018436772750260364
HMGB1P20_ENSG00000219163.2,0.9560408012750594
AC091074.3_ENSG00000287020.1,0.1700356956861444
AL031985.2_ENSG00000227311.3,0.271126738445308
AP001042.1_ENSG00000205622.11,5.135035945462458e-05
DLGAP2_ENSG00000198010.12,0.3888336733731147
AC011468.2_ENSG00000267827.5,0.464602743862089
BX004987.1_ENSG00000278704.1,0.09507978072544032
AC118755.2_ENSG00000265349.1,0.4402973698323692
APOA2_ENSG00000158874.11,0.7533618391027619
