fetures,p.val,p.adjust
RFS_all_event,0.990529014717738,0.996389715332336
AC010598.1_ENSG00000251374.1,0.577335918817873,0.758616924335507
AC012464.1_ENSG00000257283.1,0.158121136390434,0.347275853012517
AL136129.1_ENSG00000286826.1,0.463560685963308,0.671779554167078
MIR6165_ENSG00000277478.1,0.389106972344413,0.608622566840549
WFIKKN2_ENSG00000173714.8,0.278272249072727,0.496632929900011
AC005837.3_ENSG00000274051.1,0.472173640914602,0.678462628883046
AC025575.2_ENSG00000258053.1,0.00945368294058124,0.0499582184984329
AC004870.1_ENSG00000214754.3,0.313768845774989,0.534184977104526
RN7SL521P_ENSG00000240877.3,0.439919828478125,0.6523786138043
EEF1E1-BLOC1S5_ENSG00000265818.1,0.356144707854715,0.576349151550806
AC004080.1_ENSG00000253308.2,0.370312113641171,0.591083562648105
AL158040.1_ENSG00000221042.1,0.404783205357098,0.621297200282158
AC068987.3_ENSG00000261586.2,0.635097160194442,0.798373630268804
AL158063.1_ENSG00000276957.1,0.194463279062504,0.397098084601969
MIR4640_ENSG00000284370.1,0.32717712471258,0.547435395366007
H2AFB2_ENSG00000277858.1,0.0283985531134473,0.108188980287218
ACTBL2_ENSG00000169067.4,0.237191214547661,0.450920342688628
AL136038.4_ENSG00000270878.1,0.366669525811673,0.587228881934913
GRM6_ENSG00000113262.16,0.078650879111107,0.216978016644542
AC022387.2_ENSG00000286373.1,0.217929111389486,0.427319003885341
AC069209.1_ENSG00000274029.1,0.908430987261632,0.955952718008753
LINC01160_ENSG00000231346.5,0.198694587385577,0.402697209708851
AC073912.2_ENSG00000256299.1,0.776552593690794,0.885883313761332
MIR449C_ENSG00000251856.1,0.323161078512712,0.543098431357456
FAM170A_ENSG00000164334.15,0.612150806257376,0.781577433434613
HEPN1_ENSG00000221932.6,0.45138050542685,0.661827754787851
SEMA6A-AS2_ENSG00000249167.2,0.170479389652308,0.364033017708322
AC025034.1_ENSG00000258302.2,0.00346684450493735,0.0245770624512288
ASXL3_ENSG00000141431.12,0.341728941573703,0.562781847525139
AL732314.4_ENSG00000280767.3,0.222189093648667,0.43269532162246
FBXW11P1_ENSG00000230870.2,0.0897663787878894,0.236742990575817
AL645939.4_ENSG00000272236.1,0.326521816178396,0.546814331543345
SLC26A7_ENSG00000147606.9,5.33838180413799e-05,0.00116881156925045
SNRPFP1_ENSG00000231878.1,0.347437341693271,0.568164135894513
AC015849.3_ENSG00000270871.1,0.338479951604987,0.559448386190099
RNU6-196P_ENSG00000207042.1,0.242432348719955,0.45698232922052
ZNF603P_ENSG00000216901.1,0.30950031746348,0.530321949439978
AL078459.1_ENSG00000223653.6,0.796365756746155,0.89649075429166
AC006238.1_ENSG00000272799.1,0.210219284898303,0.418038941544526
AACSP1_ENSG00000250420.8,0.215787168497634,0.424386443856461
RNU6-431P_ENSG00000206601.1,0.738880293911365,0.864037443223939
MEIS1-AS2_ENSG00000230749.5,0.0669189289248799,0.194199075796191
HNRNPA1P27_ENSG00000233680.4,0.656457644379562,0.810683395601453
AC019257.1_ENSG00000253764.3,0.0358462140734073,0.127171823202979
SH3GL3_ENSG00000140600.17,7.54079963341925e-09,1.33010279533974e-06
ANGPTL5_ENSG00000187151.7,0.483738953730116,0.687658326306922
PTPN2P1_ENSG00000228196.1,0.906242007164487,0.954790081987388
MAPK6-DT_ENSG00000259438.1,0.737247438869768,0.863093591893748
LINC01906_ENSG00000265786.1,0.0565960319977627,0.173803396631214
AC009237.6_ENSG00000235959.1,0.454434431747224,0.664421504536137
CHTF8P1_ENSG00000233543.1,0.41348613150723,0.629010651325844
KRT18P20_ENSG00000257758.1,0.611191653375681,0.781232698765304
AL355297.3_ENSG00000271265.1,0.37869317809939,0.599036780048054
TMEM72_ENSG00000187783.12,0.475579941456687,0.681007273111144
AC091151.5_ENSG00000287943.1,0.321255681988387,0.541185331407882
RPL18AP7_ENSG00000232439.1,0.531812372745205,0.724958159861623
PPIAP73_ENSG00000182000.9,0.571289079965327,0.753982864877524
MIR3936_ENSG00000263597.1,0.878031658539678,0.940746092610884
AL691432.1_ENSG00000269737.2,0.612125004015654,0.781577433434613
RPL3P3_ENSG00000243388.1,0.0608004488832609,0.182893867872883
SNORD109B_ENSG00000239169.1,0.212214279868672,0.420583666183544
FIGNL2-DT_ENSG00000259887.1,0.406041221860605,0.62247198307011
LINC00989_ENSG00000250334.6,0.00521084778522352,0.0329904800118169
AP000695.3_ENSG00000279365.1,0.583729481932168,0.763015078538068
GRM5_ENSG00000168959.14,0.914385643299916,0.959180479676265
OR6B3_ENSG00000178586.5,0.0744274035510585,0.20904559942456
SPACA4_ENSG00000177202.3,0.41298797366169,0.628422202657046
AL589182.2_ENSG00000278594.1,0.566894080789745,0.750729030392521
AL121950.1_ENSG00000279127.1,0.380968661729947,0.60051540466501
SNORD11B_ENSG00000271852.1,0.00131440199043024,0.0123347162112608
LINC02041_ENSG00000228952.1,0.0303112562282641,0.113168973842317
AC104073.2_ENSG00000237026.1,0.571124286956165,0.753930007319186
ALDOB_ENSG00000136872.20,0.302982770399163,0.523688363416125
AC012441.1_ENSG00000227080.2,0.902026080680597,0.952311513881549
AC016769.2_ENSG00000224669.1,0.385648196150489,0.605460802834841
FKBP6_ENSG00000077800.13,0.168849916610459,0.361883531787695
AL137247.2_ENSG00000270008.1,0.255359213222103,0.471251766018303
MIR1285-1_ENSG00000221520.1,0.268509459261885,0.485621552204017
AC108688.1_ENSG00000243508.1,0.697542831400852,0.83766877102229
AC130352.1_ENSG00000270154.1,0.313605855832325,0.534062353189957
ATP6V0CP3_ENSG00000213435.3,0.782831815340387,0.889630325059853
KRT18P52_ENSG00000237007.4,0.0158341041902903,0.0719829395068257
ARPC3P5_ENSG00000214027.3,0.450675190579356,0.661203627180464
AC004233.3_ENSG00000274367.1,0.144555146088204,0.327208480341779
PLGLB2_ENSG00000125551.19,0.746010385485904,0.868309691886963
AC129507.3_ENSG00000262558.1,0.61451431290466,0.783537676822776
MIR6740_ENSG00000275207.1,0.00979559940108921,0.0512896857694879
Z94721.3_ENSG00000285730.1,0.327306503786194,0.547489577397698
RPL10P18_ENSG00000253995.1,0.758884849109734,0.876247778887771
AL392083.2_ENSG00000287043.1,0.632400051138858,0.796874324384554
AC005332.1_ENSG00000265100.1,0.542765437054456,0.733411298269129
AC073475.1_ENSG00000250938.6,0.51474670561818,0.712250856172855
AC011246.1_ENSG00000286481.1,0.242185769701033,0.456684837729598
AL031728.1_ENSG00000231105.2,0.108035134482234,0.268818522944279
FLJ45513_ENSG00000204584.1,0.143866425813932,0.326335851610745
RN7SL589P_ENSG00000239247.3,0.538297961684401,0.730096360758226
AC026784.1_ENSG00000234865.3,0.0100008710676894,0.0519691738671205
CPNE6_ENSG00000100884.9,0.15602428318707,0.344036043449137
AF106564.1_ENSG00000272163.1,0.00734752068802199,0.0416640001722638
AC114810.1_ENSG00000271868.1,0.652352210302572,0.808585536438104
GAPDHP59_ENSG00000231739.2,0.0660358321318112,0.192806047426441
LINC00520_ENSG00000258791.9,0.347604567890433,0.568329762251798
AC125388.1_ENSG00000241069.1,0.569844101594587,0.753014947567657
NLRP4_ENSG00000160505.16,0.00707750168078548,0.0406961421615723
SPRY3_ENSG00000168939.11,0.693768361538516,0.835338912677767
MIR26A2_ENSG00000207789.1,0.201407292404026,0.406356634703062
Y_RNA_ENSG00000252585.1,0.223836493969807,0.434514427775951
PDE4DIPP1_ENSG00000229828.2,0.539178134811809,0.730774076101273
IDO2_ENSG00000188676.13,0.00539991008562405,0.0338282491534921
IGHV3-76_ENSG00000253247.1,0.403978472072602,0.620500731404864
AC099513.1_ENSG00000230929.5,0.306127537255302,0.526864944287055
FABP7P1_ENSG00000226766.1,0.17351265803025,0.367669275577486
LINC02137_ENSG00000260186.5,0.31834557185972,0.538242794693566
UBE2L4_ENSG00000267741.1,0.657998871970807,0.811769722187451
RNU1-4_ENSG00000207389.1,0.752269388170047,0.872177580845249
AC079322.1_ENSG00000261187.1,0.639976072568649,0.801020255456467
BOK-AS1_ENSG00000234235.1,0.178102088134097,0.374238487924985
C1QL3_ENSG00000165985.10,9.25795139266348e-05,0.00176419921812119
SMAD5-AS1_ENSG00000164621.5,0.743908214488264,0.867042935049467
AL353135.1_ENSG00000271931.1,0.808094324360584,0.903030608675684
AC002401.4_ENSG00000276851.1,0.510548046351788,0.708717340319038
AL136366.1_ENSG00000225472.2,0.932829812538887,0.968485751653071
AL353747.3_ENSG00000231720.1,0.795330040695082,0.895883339899482
MIR601_ENSG00000207991.1,0.734418416105015,0.860995992992802
AC133540.1_ENSG00000278716.1,0.159979666279152,0.349535197161124
LINC02328_ENSG00000258733.6,0.828169266426972,0.914114921097742
AP001627.1_ENSG00000225731.1,0.379547566715917,0.599417539331652
SLITRK2_ENSG00000185985.10,0.0557986899527112,0.17221682281774
LINC01159_ENSG00000229743.4,0.00583594655799467,0.0358048008173317
AC124312.1_ENSG00000214265.11,0.0184725332704932,0.0801506459048637
AC104971.1_ENSG00000267226.2,0.5379775505169,0.729805120920614
RNVU1-2_ENSG00000252135.1,0.443932533806624,0.655779323166215
AC026412.2_ENSG00000232615.4,0.0962228541892688,0.248453924147259
AC007448.5_ENSG00000285877.1,0.285176734806866,0.503646662114004
LINC02616_ENSG00000261761.5,0.721279909653139,0.852192773789208
AC006262.2_ENSG00000269729.1,0.780436671863196,0.888195973599609
AL157400.5_ENSG00000249962.1,0.380756649845332,0.600352766743111
FSCN3_ENSG00000106328.10,0.815603587983211,0.907684280244942
AC012501.3_ENSG00000242575.1,0.0155746800112295,0.0711243720512814
RPL22P11_ENSG00000233707.3,0.808777827995429,0.903472445443596
ASS1P2_ENSG00000223922.1,0.591262638168175,0.768226729081569
Y_RNA_ENSG00000238713.1,0.609499727914263,0.78001307132836
FAM182A_ENSG00000125804.14,0.0698922202519493,0.199877823209158
NMRAL2P_ENSG00000171658.8,0.252475538629475,0.468219519726708
AC091564.1_ENSG00000241678.1,0.734247395929422,0.860902783877031
GRTP1-AS1_ENSG00000225083.2,0.666579917585714,0.817460497723201
MEF2C-AS2_ENSG00000245864.3,0.502035248229122,0.701727801618825
AL020997.3_ENSG00000270031.1,0.271322728064188,0.48863531074137
TCP1P1_ENSG00000229161.2,0.242999224370863,0.457474658114468
PPIAL4A_ENSG00000263353.3,0.123697638919234,0.294947175192515
FOXD1-AS1_ENSG00000247993.2,0.000203580012293486,0.0031378673440452
AC079384.1_ENSG00000258346.1,0.604970021500292,0.777087905756214
AC020765.5_ENSG00000285020.1,0.914565472082895,0.959215602774367
AC241377.2_ENSG00000275585.2,0.973031142760332,0.987872685480326
AC012491.1_ENSG00000271074.1,0.100428838092642,0.255457653776525
AL022318.2_ENSG00000259421.1,0.861050006856936,0.931555366614906
RNU6-1005P_ENSG00000207248.1,0.752709471319241,0.872398266084847
AC092919.1_ENSG00000240497.3,0.969962646719764,0.986410330645864
AL499604.1_ENSG00000287070.1,0.775595421001369,0.885184971348295
Y_RNA_ENSG00000206660.1,0.0835156896123991,0.225505146597888
LINC01603_ENSG00000253479.6,0.653390523718927,0.809116274830557
AL022334.2_ENSG00000273044.1,0.813883197700401,0.906556088151743
MIR6806_ENSG00000277588.1,0.612066412387365,0.781577433434613
