,coefficient
ENSG00000175063.17_ENST00000372568.4,0.02271926780827951
ENSG00000106617.14_ENST00000287878.9,-0.011401248437135485
ENSG00000167740.9_ENST00000301391.7,-0.08455646851785038
ENSG00000122085.17_ENST00000391980.7,-0.045110443782483654
ENSG00000112984.12_ENST00000394894.8,0.006346065903802081
ENSG00000118096.8_ENST00000264020.6,-0.03184168738724003
ENSG00000016391.11_ENST00000315251.11,-0.09932181758400839
ENSG00000162543.6_ENST00000375099.4,-0.04100936905337361
ENSG00000109452.12_ENST00000513000.5,-0.04603613214029781
ENSG00000144649.9_ENST00000430121.3,-0.00820161701838217
ENSG00000143476.18_ENST00000366991.5,0.06321573670997252
ENSG00000189366.9_ENST00000340333.7,0.03234103962372401
ENSG00000132432.14_ENST00000450622.1,0.05577584217854227
ENSG00000126456.16_ENST00000598808.5,0.032083492848058025
ENSG00000029993.15_ENST00000325307.12,0.03509328822443476
ENSG00000149257.14_ENST00000524558.5,0.013370415681364819
ENSG00000183044.12_ENST00000268251.13,-0.014770729168413365
ENSG00000160789.20_ENST00000347559.6,0.0014021495646886065
