,coefficient
age,0.6408977939670133
LINC01285_ENSG00000203650.9,0.04120827187051889
AC073578.5_ENSG00000287136.1,0.05806842043407433
AC079760.2_ENSG00000243144.7,0.0035983111992072105
LINC02418_ENSG00000214039.9,0.008451760767793652
AC114803.1_ENSG00000230432.1,0.006708903616042673
RGS20_ENSG00000147509.14,0.007013145462060695
LINC02691_ENSG00000258913.2,0.00030343729546621973
PRR7-AS1_ENSG00000246334.2,0.02254174690997825
SNORA70F_ENSG00000206869.1,7.809698961743254e-05
TRPM8_ENSG00000144481.17,0.018414427668506962
AL589765.4_ENSG00000249602.1,0.004623043206409415
AC109479.1_ENSG00000253163.1,0.026010391479341716
AP002957.1_ENSG00000255345.1,0.05655910081168834
AC112907.2_ENSG00000231982.1,0.00172954861608666
LINC02086_ENSG00000244649.5,0.01103630358039883
AL161457.2_ENSG00000233178.7,-0.020735336230694856
DDN_ENSG00000181418.8,0.01221778495261463
SSTR5_ENSG00000162009.8,0.002268105247866644
CCKBR_ENSG00000110148.10,0.022410595153125507
AC103702.2_ENSG00000272763.1,0.0431960660867087
LRRC55_ENSG00000183908.7,-0.07386825147550194
AL390860.1_ENSG00000235749.3,-1.3109327595443856e-05
GPLD1_ENSG00000112293.15,-0.01108329419595137
FZD9_ENSG00000188763.5,0.0024466782350335047
DNER_ENSG00000187957.8,0.005472755113136607
ZNF763_ENSG00000197054.12,-0.02652250920905871
ADGRB1_ENSG00000181790.11,0.03203439603508865
AP000580.1_ENSG00000219529.2,0.00471660717645947
RNF213-AS1_ENSG00000263069.6,-0.00010072593699542112
TADA2B_ENSG00000173011.12,-0.002853930453836635
LRRN3_ENSG00000173114.13,-0.004256338382288145
AXIN2_ENSG00000168646.13,-0.015566080402715751
IL3RA_ENSG00000185291.12,-0.031559742753108994
TENT5C_ENSG00000183508.5,-0.00032495453309678413
CDON_ENSG00000064309.14,-0.04734193224399415
INPP4B_ENSG00000109452.12,-0.008061160413116681
ARHGEF6_ENSG00000129675.16,-0.004970737631327024
KIF20A_ENSG00000112984.12,0.02759453833039438
HIST1H4K_ENSG00000273542.1,0.026660050072644097
HIST1H4J_ENSG00000197238.4,0.004428492407303451
RNF212_ENSG00000178222.13,-0.00654088266792948
MYB_ENSG00000118513.19,-0.01596520375696776
FCER1A_ENSG00000179639.10,-0.031568706329845354
ZNF703_ENSG00000183779.7,-0.01257953758034642
PPP1R3C_ENSG00000119938.9,-0.010146268915873958
ADAMTS15_ENSG00000166106.3,-0.028696546985997474
AC008663.1_ENSG00000253768.1,-0.01127568172284043
CYP4F8_ENSG00000186526.13,-0.007758551490651011
