genes,p-val
AC010598.1_ENSG00000251374.1,0.4651208990579476
AC012464.1_ENSG00000257283.1,0.5195754599733453
AL136129.1_ENSG00000286826.1,0.12385952052078206
MIR6165_ENSG00000277478.1,0.03566350804125463
WFIKKN2_ENSG00000173714.8,0.02720289302967843
AC005837.3_ENSG00000274051.1,0.3662513694858637
AC025575.2_ENSG00000258053.1,0.07053347762030035
AC004870.1_ENSG00000214754.3,0.07137212956860935
RN7SL521P_ENSG00000240877.3,0.7046452842328512
EEF1E1-BLOC1S5_ENSG00000265818.1,0.7750044481473792
AC004080.1_ENSG00000253308.2,0.0466275322513307
AL158040.1_ENSG00000221042.1,0.1098198456086681
AC068987.3_ENSG00000261586.2,0.47566688332826756
AL158063.1_ENSG00000276957.1,0.7769205058341464
MIR4640_ENSG00000284370.1,0.3583373759555629
H2AFB2_ENSG00000277858.1,0.13017433588681615
ACTBL2_ENSG00000169067.4,0.5511438029963983
AL136038.4_ENSG00000270878.1,0.26725091492044334
GRM6_ENSG00000113262.16,0.6951682216130913
AC022387.2_ENSG00000286373.1,0.4777843417782003
AC069209.1_ENSG00000274029.1,0.351366089149875
LINC01160_ENSG00000231346.5,0.3664919846048875
AC073912.2_ENSG00000256299.1,0.6824903913268948
MIR449C_ENSG00000251856.1,0.9693303147119706
FAM170A_ENSG00000164334.15,0.6316648892446901
HEPN1_ENSG00000221932.6,0.10240252734432899
SEMA6A-AS2_ENSG00000249167.2,0.8922304553531696
AC025034.1_ENSG00000258302.2,0.02970974778991792
ASXL3_ENSG00000141431.12,0.0008628023641770107
AL732314.4_ENSG00000280767.3,0.6494448166735665
FBXW11P1_ENSG00000230870.2,0.964173805846857
AL645939.4_ENSG00000272236.1,0.6135256173584039
SLC26A7_ENSG00000147606.9,0.4730509027508434
SNRPFP1_ENSG00000231878.1,0.02221654808487316
AC015849.3_ENSG00000270871.1,0.6419421492594246
RNU6-196P_ENSG00000207042.1,0.9363714260392882
ZNF603P_ENSG00000216901.1,0.07582069107601508
AL078459.1_ENSG00000223653.6,0.42149591867380876
AC006238.1_ENSG00000272799.1,0.5649404926699612
AACSP1_ENSG00000250420.8,0.38696965095696567
RNU6-431P_ENSG00000206601.1,0.99041731223996
MEIS1-AS2_ENSG00000230749.5,0.00034968657215396764
HNRNPA1P27_ENSG00000233680.4,0.5028249252174212
AC019257.1_ENSG00000253764.3,0.04114763356590015
SH3GL3_ENSG00000140600.17,2.4272005693283876e-06
ANGPTL5_ENSG00000187151.7,0.1884412240135764
PTPN2P1_ENSG00000228196.1,0.2658634946737667
MAPK6-DT_ENSG00000259438.1,0.6607779406271939
LINC01906_ENSG00000265786.1,0.19804024102586987
AC009237.6_ENSG00000235959.1,0.043776605190217394
CHTF8P1_ENSG00000233543.1,0.3394419767761607
KRT18P20_ENSG00000257758.1,0.0416332984479422
AL355297.3_ENSG00000271265.1,0.17444557123247306
TMEM72_ENSG00000187783.12,0.6147873373460317
AC091151.5_ENSG00000287943.1,0.8480615012236508
RPL18AP7_ENSG00000232439.1,0.21289489231240222
PPIAP73_ENSG00000182000.9,0.46213413258071234
MIR3936_ENSG00000263597.1,0.34526790437751587
AL691432.1_ENSG00000269737.2,0.34562362036971916
RPL3P3_ENSG00000243388.1,0.13757150711291702
SNORD109B_ENSG00000239169.1,0.20211437241767116
FIGNL2-DT_ENSG00000259887.1,0.9028162178451768
LINC00989_ENSG00000250334.6,0.015484610921190748
AP000695.3_ENSG00000279365.1,0.6305408543677948
GRM5_ENSG00000168959.14,0.7958129934015604
OR6B3_ENSG00000178586.5,0.0052293452088192005
SPACA4_ENSG00000177202.3,0.8122949515325644
AL589182.2_ENSG00000278594.1,0.8269099731436105
AL121950.1_ENSG00000279127.1,0.6438317943500851
SNORD11B_ENSG00000271852.1,0.031079419935423035
LINC02041_ENSG00000228952.1,0.0818383462322799
AC104073.2_ENSG00000237026.1,0.9589842305697929
ALDOB_ENSG00000136872.20,0.022024217390124192
AC012441.1_ENSG00000227080.2,0.455975665882831
AC016769.2_ENSG00000224669.1,0.5539039159291891
FKBP6_ENSG00000077800.13,0.8908423678125399
AL137247.2_ENSG00000270008.1,0.7933951775338464
MIR1285-1_ENSG00000221520.1,0.5872275570117275
