,coefficient
age,0.6379373381056512
ENSG00000185291.12_ENST00000331035.10,-0.03967495727564278
ENSG00000136856.18_ENST00000373371.8,-0.003713596076066209
ENSG00000094914.14_ENST00000549450.6,0.02194021441194401
ENSG00000087274.17_ENST00000398125.5,-0.002885453954503718
ENSG00000141562.18_ENST00000345415.11,0.018848686663264256
ENSG00000103197.18_ENST00000219476.9,0.011989201935081897
ENSG00000121310.17_ENST00000371522.9,-0.00591705241498216
ENSG00000064309.14_ENST00000392693.7,-0.07600724125598216
ENSG00000170906.16_ENST00000422029.6,0.018248711553020196
ENSG00000183508.5_ENST00000369448.4,-0.005582196923898026
ENSG00000104231.11_ENST00000519464.5,0.03942311727997838
ENSG00000080824.18_ENST00000553585.5,0.002523378179478281
ENSG00000109452.12_ENST00000513000.5,-0.04372344693501441
ENSG00000273542.1_ENST00000611927.1,0.015638664004034426
ENSG00000105048.17_ENST00000356783.9,0.0640348137838022
ENSG00000171791.13_ENST00000398117.1,-0.025306092293195182
ENSG00000005469.11_ENST00000331536.7,-0.00225876747173987
ENSG00000197238.4_ENST00000355057.2,0.013822249832270539
ENSG00000116670.15_ENST00000376672.5,0.022286036491567556
ENSG00000123407.4_ENST00000243103.4,0.001451149854184786
ENSG00000198848.12_ENST00000422046.6,-0.02122218779483824
ENSG00000075945.13_ENST00000367767.5,0.02477016856265251
ENSG00000232629.9_ENST00000435145.6,0.07838306015266036
ENSG00000179639.10_ENST00000368115.5,-0.05726353961644155
ENSG00000198721.12_ENST00000380125.6,-0.00629971071204737
ENSG00000183779.7_ENST00000331569.6,-0.04647259545838707
ENSG00000119938.9_ENST00000238994.6,-0.02808665804502908
ENSG00000239900.12_ENST00000625194.3,0.03216349811945345
ENSG00000211452.10_ENST00000613679.4,-0.014748665443135276
ENSG00000090621.14_ENST00000372862.7,-0.0014504187858088366
ENSG00000011465.17_ENST00000425043.5,-0.005275372738726225
ENSG00000166106.3_ENST00000299164.3,-0.04982524159117409
ENSG00000123143.12_ENST00000342216.8,-0.01076540584150591
ENSG00000143546.10_ENST00000368733.4,0.001065754165458544
ENSG00000175356.13_ENST00000649792.1,-0.00012145797478011638
ENSG00000113739.10_ENST00000265087.8,-0.005210622838698762
