,coefficient
PREP_ENSG00000085377.13,0.024349016500281758
MAX_ENSG00000125952.18,-0.0251687422942139
GMPS_ENSG00000163655.15,0.024793106331568598
SPRR1B_ENSG00000169469.8,0.036473803987316526
ZNF763_ENSG00000197054.11,-0.03943449517789277
CRBN_ENSG00000113851.14,-0.059709358414355956
SUMF1_ENSG00000144455.13,-0.11477966443419711
ADAMTS19_ENSG00000145808.9,0.0074787782974706125
PGK1_ENSG00000102144.13,0.07190056707915433
SURF1_ENSG00000148290.9,-0.018628420246696753
SOX11_ENSG00000176887.6,0.019797429214933968
TRIM4_ENSG00000146833.15,-0.02647092238760539
PAX7_ENSG00000009709.11,0.004621281726714
TFDP2_ENSG00000114126.17,0.03201625336785816
CCDC159_ENSG00000183401.11,-0.005368503605124624
PIH1D2_ENSG00000150773.10,-0.02432384741999988
FAM117A_ENSG00000121104.7,-0.07913204129038615
YBEY_ENSG00000182362.13,-0.030054155347071877
PGM2L1_ENSG00000165434.7,0.05314115044178852
RAB11FIP4_ENSG00000131242.17,-0.028406868529556997
NUDT18_ENSG00000275074.1,-0.01408542776521136
CTTN_ENSG00000085733.15,0.07511766737382242
INTS4_ENSG00000149262.16,0.02649847764815459
STARD13_ENSG00000133121.20,-0.04603773759677949
CENPW_ENSG00000203760.8,0.010248077669956012
MPP7_ENSG00000150054.18,-0.020200390511843323
CHDH_ENSG00000016391.10,-0.09837559798986428
SPATA18_ENSG00000163071.10,-0.019840283550377168
UBXN10_ENSG00000162543.5,-0.004155431249423853
INPP4B_ENSG00000109452.12,-0.01855680548777679
CDC45_ENSG00000093009.9,0.009907439828923854
KIF20A_ENSG00000112984.11,0.05977984851483124
HMGB3_ENSG00000029993.14,0.025827812395015904
ALG1L_ENSG00000189366.9,0.017315997412616885
RAI2_ENSG00000131831.17,-0.016610149904434185
ABAT_ENSG00000183044.11,-0.012674309151429034
CEACAM6_ENSG00000086548.8,0.015219139396152036
