,coefficient
age,0.6387733925738711
ERMAP_ENSG00000164010.13,-0.05428566152226651
KCMF1_ENSG00000176407.17,0.00938068266998267
SIN3A_ENSG00000169375.15,-0.006933985871970909
TMEM216_ENSG00000187049.9,-0.003972108952977657
ADGRB1_ENSG00000181790.10,0.017691325954551817
ZNF763_ENSG00000197054.11,-0.02837245987841977
NFRKB_ENSG00000170322.14,-0.021041106091204503
ACTN2_ENSG00000077522.12,0.04812575706369855
PGK1_ENSG00000102144.13,0.034211424945562466
TRIM68_ENSG00000167333.12,-0.012395561089020268
GDPGP1_ENSG00000183208.12,-0.019048769307146902
LRRN3_ENSG00000173114.12,-0.012460737561022839
LRRC27_ENSG00000148814.17,-0.005060432406843509
AHNAK_ENSG00000124942.13,-0.03226843337135127
IL3RA_ENSG00000185291.11,-0.028899795926799147
KIF16B_ENSG00000089177.18,-9.635995514171964e-05
ARHGEF6_ENSG00000129675.15,-0.01535024197929069
C3orf52_ENSG00000114529.12,-0.006580381231561909
KIF20A_ENSG00000112984.11,0.01156354676145844
CDON_ENSG00000064309.14,-0.04122121380586925
SIM2_ENSG00000159263.15,0.014824932126508402
MYB_ENSG00000118513.18,-0.0332774789276808
ZNF703_ENSG00000183779.6,-0.03870646698944628
FCER1A_ENSG00000179639.10,-0.055274125258015276
PPP1R3C_ENSG00000119938.8,-0.023445701871336693
ADAMTS15_ENSG00000166106.3,-0.025313001327205677
IGHV3-72_ENSG00000225698.3,-0.008303993588488203
